"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2275.62185642726
"EX2-SY0.m1",2263.24769471435
"EX1-SY0.m2",2280.94595361936
"EX2-SY0.m2",2263.62872847325
"EX1-SY0.m3",2260.66864908202
"EX2-SY0.m3",2228.23342759436
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1834.12666051858
"EX2-SY1.m1",2254.25016079636
"EX1-SY1.m2",1839.38415589061
"EX2-SY1.m2",2259.67950642531
"EX1-SY1.m3",1833.22007005867
"EX2-SY1.m3",2240.88557887133
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2196.30749534627
"EX2-SY0.m1",2205.29895965772
"EX1-SY0.m2",2201.76281646432
"EX2-SY0.m2",2210.08574683985
"EX1-SY0.m3",2206.45007884475
"EX2-SY0.m3",2214.84073794591
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1818.8288733404
"EX2-SY1.m1",2157.00157574082
"EX1-SY1.m2",1824.08636871243
"EX2-SY1.m2",2161.70732982767
"EX1-SY1.m3",1828.38446156957
"EX2-SY1.m3",2164.08945134417
