"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2208.74847300317
"EX2-SY0.m1",2231.42138630275
"EX1-SY0.m2",2214.20379411853
"EX2-SY0.m2",2236.80290181741
"EX1-SY0.m3",2217.07984426913
"EX2-SY0.m3",2239.156111938
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1793.36472751781
"EX2-SY1.m1",2132.38691813936
"EX1-SY1.m2",1798.62222288983
"EX2-SY1.m2",2137.66681864351
"EX1-SY1.m3",1803.87971827066
"EX2-SY1.m3",2142.58979683535
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2201.28130490788
"EX2-SY0.m1",2234.59925059653
"EX1-SY0.m2",2206.73662602324
"EX2-SY0.m2",2239.82143732202
"EX1-SY0.m3",2208.70747935734
"EX2-SY0.m3",2240.80611780941
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1775.5699860246
"EX2-SY1.m1",2125.38757788697
"EX1-SY1.m2",1780.6721716278
"EX2-SY1.m2",2130.22630426276
"EX1-SY1.m3",1785.92966699991
"EX2-SY1.m3",2134.84935799118
