"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,41.9253857352825,5.05898793195583,233.999999992909,8.2873069276277,9.03934158490608e-15
"EX2-SY0.m0.CS",0,0.709172539213293,1.62012384242677,233.999999993218,0.437727364193979,0.661987687903988
"EX1-SY0.m1.int",2289.51442716432,41.9253857352825,5.05898793195583,233.999999992909,8.2873069276277,9.03934158490611e-15
"EX1-SY0.m1.CS",0,0.709172539213293,1.62012384242677,233.999999993218,0.437727364193979,0.661987687903988
"EX2-SY0.m1.int",2256.24467198217,45.5593581301867,5.68095194312272,58.3263199458092,8.01966969379846,5.46930040117365e-11
"EX2-SY0.m1.CS",0,-0.432990088156623,1.79430282662801,63.9141760737495,-0.24131383049222,0.810084390979223
"EX1-SY0.m2.int",2294.96974827968,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2260.5433177003,24.441797437707,4.21395766065563,142.020988456633,5.80020005087194,4.12745219035191e-08
"EX2-SY0.m2.CS",0,3.86166042987331,1.1797538678859,213.122152468388,3.27327634601728,0.00124030465149744
"EX1-SY0.m3.int",2297.85081796616,25.0953936626199,4.11222690252981,106.526736244955,6.10262863831307,1.7159556995884e-08
"EX1-SY0.m3.CS",0,3.70903091608552,1.24847776548953,99.593279690324,2.9708425881587,0.00372249449984608
"EX2-SY0.m3.int",2260.47047790232,31.2685741764722,5.23033139785298,34.8679880012575,5.97831605647545,8.36252701607658e-07
"EX2-SY0.m3.CS",0,1.80271411262107,1.57506256055982,34.8187018431416,1.14453492690496,0.260208981829916
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,51.663605744808,6.01091961028452,191.999999992993,8.59495869091528,2.88617222936275e-15
"EX2-SY1.m0.CS",0,-2.89921387369073,1.92477193054064,191.999999993264,-1.50626358774693,0.133642974484768
"EX1-SY1.m1.int",1889.03612725892,51.663605744808,6.01091961028452,191.999999992993,8.59495869091528,2.88617222936275e-15
"EX1-SY1.m1.CS",0,-2.89921387369073,1.92477193054064,191.999999993264,-1.50626358774693,0.133642974484768
"EX2-SY1.m1.int",2241.72403336279,51.7011464151812,6.01974427159702,62.4417645047688,8.58859514333905,3.58889675961638e-12
"EX2-SY1.m1.CS",0,-2.91097502850432,1.92696212491144,85.2677565675538,-1.51065503097945,0.134573509866685
"EX1-SY1.m2.int",1894.29362263095,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2247.1533789952,17.9515897563646,4.6606055604175,201.69760859214,3.85177194758282,0.000157477165121113
"EX2-SY1.m2.CS",0,5.33892106672176,1.45506944781917,209.314593128794,3.66918642592876,0.000308723381578567
"EX1-SY1.m3.int",1899.55072269494,17.9515652648153,4.6606009285514,201.698920368456,3.85177052058713,0.000157477731335005
"EX1-SY1.m3.CS",0,5.33892995009269,1.45507064431447,209.314145601658,3.66918951389334,0.000308720030731329
"EX2-SY1.m3.int",2250.202654403,20.516779366793,5.38537337029707,37.3400637345133,3.80972273528014,0.000503507279911085
"EX2-SY1.m3.CS",0,4.52106803822102,1.57732800840233,58.9554329451984,2.86628273519367,0.0057498267377765
