"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,25.40749181161,2.63919957709331,128.228498983991,9.62696873405558,7.6882970804531e-17
"EX2-SY0.m0.CS",0,11.3662962639689,1.14238129539209,198.164623995175,9.94965193304191,3.56742819626922e-19
"EX1-SY0.m1.int",2208.74847300317,25.4074918088384,2.63919956840452,128.228500771643,9.62696876469937,7.6882948730816e-17
"EX1-SY0.m1.CS",0,11.3662962656672,1.14238129715305,198.164622542518,9.94965191919136,3.56742871830484e-19
"EX2-SY0.m1.int",2231.42138630275,25.6284266444296,3.02275662765762,38.4612192764059,8.47849489764892,2.46371105933814e-10
"EX2-SY0.m1.CS",0,11.2665367870751,1.20750326679574,69.1099008782653,9.33044000532784,7.38960186729237e-14
"EX1-SY0.m2.int",2214.20379411853,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2236.80290181741,25.0127176758639,3.19098621408657,66.3738252668881,7.83855397602333,4.97796918624509e-11
"EX2-SY0.m2.CS",0,6.46682583646325,1.04659299931242,201.17542837175,6.17893091269647,3.5201550559018e-09
"EX1-SY0.m3.int",2217.07984426913,25.0882721548972,3.1851664271244,64.1211922264087,7.87659694678722,5.25837360698206e-11
"EX1-SY0.m3.CS",0,6.4399402622335,1.06861349861897,58.5671412154248,6.02644480025396,1.19588595600938e-07
"EX2-SY0.m3.int",2239.156111938,25.9346206712183,3.62313906785481,36.4450486816963,7.15805277840844,1.90233491270894e-08
"EX2-SY0.m3.CS",0,6.06913808905411,1.19574399702196,37.4858137298866,5.07561660704089,1.08235747069379e-05
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,20.2552210728568,2.69468557344945,192.000000000733,7.51672895436486,2.08658844294361e-12
"EX2-SY1.m0.CS",0,13.8840654801351,1.2284020578258,191.999999999557,11.302541697715,4.91005535350498e-23
"EX1-SY1.m1.int",1793.36472751781,20.2552210728568,2.69468557344945,192.000000000732,7.51672895436486,2.0865884429436e-12
"EX1-SY1.m1.CS",0,13.8840654801351,1.2284020578258,191.999999999557,11.302541697715,4.91005535350513e-23
"EX2-SY1.m1.int",2132.38691813936,20.2552210705979,2.69468556991463,191.999945901693,7.51672896338687,2.086590124147e-12
"EX2-SY1.m1.CS",0,13.8840654813861,1.22840206058279,191.999872116351,11.3025416733664,4.91009151589835e-23
"EX1-SY1.m2.int",1798.62222288983,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2137.66681864351,12.3557600743298,2.81097859580394,75.9766384286756,4.39553687558268,3.53925188726412e-05
"EX2-SY1.m2.CS",0,13.1428618192874,1.01439271044377,195.758565462879,12.9563843312101,3.96011951292443e-28
"EX1-SY1.m3.int",1803.87971827066,12.3169466212009,2.76537516761431,58.7339113493363,4.45398756937082,3.83763756927754e-05
"EX1-SY1.m3.CS",0,13.1705774464324,1.04674309010612,53.3853488661007,12.5824355287573,1.33760280711604e-17
"EX2-SY1.m3.int",2142.58979683535,12.2374004150866,2.64200963642149,43.5278196040756,4.63185305851563,3.27793891130309e-05
"EX2-SY1.m3.CS",0,13.2019403170097,1.02331933105641,148.341959153739,12.9010954023324,5.2063716282629e-26
