"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.UCS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,-33.4230089145436,8.90598089221773,227.339220271655,-3.75287229099598,0.000221991904125096
"EX2-SY0.m0.UCS",0,13.565851700047,1.52619996191595,216.603529003448,8.88864633636656,2.44372842317278e-16
"EX1-SY0.m1.int",2222.7028565015,-33.4230205345491,8.90597862935819,227.339487768585,-3.75287454927991,0.000221989961029832
"EX1-SY0.m1.UCS",0,13.5658537371976,1.52619931987658,216.60390418221,8.88865141041643,2.44362608011989e-16
"EX2-SY0.m1.int",2208.51135073073,-35.0116192818319,9.32889902879535,21.1166130039793,-3.75302800188556,0.00116200677462975
"EX2-SY0.m1.UCS",0,13.83940085125,1.58503062327136,26.8228122586529,8.73131449201073,2.53455453107747e-09
"EX1-SY0.m2.int",2228.15817761789,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.UCS",0,0,0,0,0,0
"EX2-SY0.m2.int",2212.06209247374,-4.81215072832027,5.53859440722056,211.889798514109,-0.868839704537086,0.38591786182085
"EX2-SY0.m2.UCS",0,7.33223222156666,0.901291313468081,221.221730775466,8.1352522896875,2.94466509441953e-14
"EX1-SY0.m3.int",2233.44249639884,-6.3352937305904,4.82150347854222,199.984223858244,-1.31396643366228,0.19036272700318
"EX1-SY0.m3.UCS",0,7.58536808838944,0.923268662539054,220.136328825875,8.21577553334166,1.79575106753041e-14
"EX2-SY0.m3.int",2217.33926054842,-6.00313965011023,4.79853502295185,187.293697719274,-1.25103591437733,0.212481836120011
"EX2-SY0.m3.UCS",0,7.52998178115161,0.890026068918491,68.8410702219908,8.46040587361853,2.92510342491207e-12
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.UCS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,-41.1874206733445,12.8221784835227,191.999999994089,-3.2122014777967,0.00154470975885959
"EX2-SY1.m0.UCS",0,14.6690561750985,2.19818842878833,191.999999995866,6.67324783580283,2.60979121110023e-10
"EX1-SY1.m1.int",1851.24254303782,-41.1874206733445,12.8221784835227,191.999999994089,-3.2122014777967,0.00154470975885958
"EX1-SY1.m1.UCS",0,14.6690561750985,2.19818842878833,191.999999995866,6.67324783580283,2.60979121110023e-10
"EX2-SY1.m1.int",2185.93465669733,-44.6954824336792,13.5344592984439,18.2268580080211,-3.30234710143301,0.00390926526492273
"EX2-SY1.m1.UCS",0,15.2664971409492,2.31888837341213,18.5640620297762,6.58354119844301,2.98803121836738e-06
"EX1-SY1.m2.int",1856.50003840985,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.UCS",0,0,0,0,0,0
"EX2-SY1.m2.int",2191.29416309055,-23.8234236989554,6.68521523387602,226.402603666098,-3.56359860760127,0.000446040918174834
"EX2-SY1.m2.UCS",0,10.2382070513317,1.13801129737934,218.972177997558,8.99657769207446,1.13341879380109e-16
"EX1-SY1.m3.int",1861.66205589541,-23.9518327518185,6.62373509542592,122.247564865996,-3.61606139236435,0.00043570605639429
"EX1-SY1.m3.UCS",0,10.2565730556436,1.14298541526871,218.557335773272,8.97349425340857,1.33382027098332e-16
"EX2-SY1.m3.int",2196.01513201757,-26.7813760411913,7.60986564435179,15.1000359708691,-3.519296830302,0.00307098898605802
"EX2-SY1.m3.UCS",0,10.7367507231095,1.32374113247523,14.4808708496505,8.11091418080597,9.25895437208432e-07
