"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.UCS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,26.1670564996475,2.52659140658396,112.433507371396,10.3566633019726,4.70554669843976e-18
"EX2-SY0.m0.UCS",0,10.1956744505287,0.96967320361086,197.226715885625,10.5145469757875,8.17774058638766e-21
"EX1-SY0.m1.int",2201.28130490788,26.1670564657942,2.52659125146114,112.433537337851,10.3566639244324,4.7055179237758e-18
"EX1-SY0.m1.UCS",0,10.1956744699303,0.969673228333253,197.226696232976,10.5145467277212,8.17776141811429e-21
"EX2-SY0.m1.int",2234.59925059653,26.3161738088056,2.94683888295775,38.7171593236198,8.93030628888401,6.07709759412652e-11
"EX2-SY0.m1.UCS",0,10.1371962692447,1.04559714547391,58.1257691864757,9.69512618997256,9.44018298879939e-14
"EX1-SY0.m2.int",2206.73662602324,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.UCS",0,0,0,0,0,0
"EX2-SY0.m2.int",2239.82143732202,25.7642765415747,3.19154157897849,64.3904198831,8.07267456932867,2.3062693172692e-11
"EX2-SY0.m2.UCS",0,5.48697056070314,0.933800670464297,199.329542794039,5.87595483089015,1.74113514817516e-08
"EX1-SY0.m3.int",2208.70747935734,25.8244227468458,3.18338858964635,60.6743028839153,8.11224329660448,2.9240616012269e-11
"EX1-SY0.m3.UCS",0,5.47577325568911,0.968431999955766,57.8134338554191,5.65426716169976,5.06824336274027e-07
"EX2-SY0.m3.int",2240.80611780941,26.4511670494806,3.6515984839138,37.8184403875328,7.24372276032113,1.18591471553618e-08
"EX2-SY0.m3.UCS",0,5.24830055416457,1.10577204094396,37.6261615123882,4.74627713473773,2.98052159347844e-05
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.UCS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,20.9270354357182,2.44594882865414,191.999999997317,8.55579445921326,3.69121975404969e-15
"EX2-SY1.m0.UCS",0,12.7105783391646,1.00865329386528,191.999999995686,12.6015335660642,6.31715852395441e-27
"EX1-SY1.m1.int",1775.5699860246,20.9244686038293,2.42367978039325,160.830061600695,8.63334701766346,5.54147036035696e-15
"EX1-SY1.m1.UCS",0,12.7108640750938,1.02564765642836,106.484227720963,12.3930123521728,2.24527519920259e-22
"EX2-SY1.m1.int",2125.38757788697,20.9244685455525,2.42367926869962,160.822323819218,8.63334881631394,5.54282735311312e-15
"EX2-SY1.m1.UCS",0,12.7108640815598,1.02564809721693,95.1172573657686,12.3930070323831,1.45053737406146e-21
"EX1-SY1.m2.int",1780.6721716278,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.UCS",0,0,0,0,0,0
"EX2-SY1.m2.int",2130.22630426276,13.2194075649859,2.7740444196273,68.8685352455923,4.76539145208134,1.01234485694073e-05
"EX2-SY1.m2.UCS",0,11.7759337386666,0.872708739757638,194.352458607687,13.4935439536642,1.03262808494685e-29
"EX1-SY1.m3.int",1785.92966699991,13.2236774605744,2.68311854578579,53.3685816708307,4.928473056602,8.43064698318335e-06
"EX1-SY1.m3.UCS",0,11.7966812635404,0.928514863816825,51.7979718754665,12.7048922136238,1.53340402363505e-17
"EX2-SY1.m3.int",2134.84935799118,13.0889011780402,2.54013342648013,43.1677916388123,5.15284002076123,6.07221733599019e-06
"EX2-SY1.m3.UCS",0,11.8435260031948,0.892090108401005,114.150381864961,13.2761543835782,6.80198130448083e-25
