condition,symmetry,cluster,sample_size,correlation_estimate_CS,p_value_estimate_CS,correlation_estimate_UCS,p_value_estimate_UCS,mean_estimate,mean_CS,mean_UCS
ex1,0,0,44,0.1997851483077191,0.19352300861815647,0.19978514830771915,0.19352300861815647,61.13636363636363,3.598484999288341,4.037345774614926
ex1,0,1,217,0.4999672653212257,3.995630445700054e-15,0.5357698667806231,1.60432790607703e-17,33.88018433179724,0.7088018429846121,0.6684975982613033
ex1,0,2,189,0.42903176849328867,7.293372447617073e-10,0.45169334849041654,6.855635080723546e-11,49.65079365079365,2.115733178552991,2.3064089747522845
ex1,1,0,44,0.4729977760398895,0.0011851562485962733,0.47299777603988946,0.0011851562485962733,65.54545454545455,3.578041242447146,4.015999940802787
ex1,1,1,194,0.5505526216824309,9.073931546609084e-17,0.6470866773539672,2.121385733151733e-24,29.314432989690722,0.6934541678891664,0.661551650665418
ex1,1,2,176,0.6999028789292434,3.177950304719614e-27,0.7365048099233927,2.348788061498359e-31,47.61931818181818,2.093312667021534,2.280952814164958
ex2,0,0,44,0.019982990038052855,0.8975562944184599,0.01998299003805279,0.8975562944184599,38.34090909090909,3.516709971923562,3.951962439366371
ex2,0,1,217,0.5199506649678989,1.9902642137993664e-16,0.49160412747534793,1.3243625545053324e-14,25.3963133640553,0.42837561825933057,0.40645854299235296
ex2,0,2,189,0.2069919474687459,0.004265794518199664,0.2247862377446039,0.0018728120883380376,38.20634920634921,2.210450366442225,2.40706352628576
ex2,1,0,44,-0.106431506941101,0.4916923819525567,-0.10643150694110104,0.4916923819525567,57.25,3.578041242447146,4.0159999408027875
ex2,1,1,194,0.5316492912686651,1.5091057363535527e-15,0.5877437432105251,2.076671477389103e-19,19.29381443298969,0.5439164190374238,0.5018125426248529
ex2,1,2,176,0.6144100532578067,1.1987964710331517e-19,0.6412632492925251,9.047910647724972e-22,41.65340909090909,2.1700630755647214,2.377591314257725
