Experiment,Condition,condition_id,CS_threshold,UCS_threshold,n_trials,n_users,estimate_mean,CS_spearman,CS_pearson,UCS_spearman,UCS_pearson,optimal_n_clusters,mean_silhouette_score,cluster_separation_index
ex1,Asymmetric,0,0.01,0.01,234.0,39.0,43.957264957264954,-0.30478004191209396,-0.015960876052459147,0.2964192128300481,0.3872059638426163,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.1,0.1,234.0,39.0,43.957264957264954,-0.304782895437378,-0.22419632021375838,0.43858041571502715,0.42047174573014184,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.2,0.2,234.0,39.0,43.957264957264954,-0.304782895437378,-0.2662483298838087,0.5395390914371476,0.4848711019232533,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.3,0.3,234.0,39.0,43.957264957264954,-0.24126675172893178,-0.24518951301076722,0.6142486636595321,0.5669003965210453,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.4,0.4,234.0,39.0,43.957264957264954,-0.25594290785196117,-0.13880673096249851,0.5995696540112188,0.5908957075922407,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.5,0.5,234.0,39.0,43.957264957264954,-0.0792830598712749,0.03208660334825093,0.5995725075365027,0.5723536547357957,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.6,0.6,234.0,39.0,43.957264957264954,0.24668369389301045,0.20515676304184655,0.5995725075365027,0.5563178704559947,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.7,0.7,234.0,39.0,43.957264957264954,0.24668369389301045,0.34460534773217644,0.6288782122029233,0.5523267371950847,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.8,0.8,234.0,39.0,43.957264957264954,0.4068729939345946,0.4458244535013122,0.6288782122029233,0.556812552657504,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,0.9,0.9,234.0,39.0,43.957264957264954,0.4986109782890981,0.5086618170657901,0.6288782122029233,0.5606437781349197,2,0.38655632987950644,4.240804739646599
ex1,Asymmetric,0,1.0,1.0,234.0,39.0,43.957264957264954,0.5995696540112188,0.5395348330539187,0.6288782122029233,0.5593817215783784,2,0.38655632987950644,4.240804739646599
ex1,Symmetric,1,0.01,0.01,186.0,31.0,42.89247311827957,-0.5293507328606145,-0.34219284408199696,0.2151874047976176,0.2416651103946613,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.1,0.1,186.0,31.0,42.89247311827957,-0.5293507328606145,-0.5412512672417993,0.4199014959765827,0.29968011131677325,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.2,0.2,186.0,31.0,42.89247311827957,-0.5293507328606145,-0.5660337845703003,0.5615088996663025,0.4162481359914451,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.3,0.3,186.0,31.0,42.89247311827957,-0.4219751750430926,-0.5225825922639271,0.6841797395728387,0.5693332846542019,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.4,0.4,186.0,31.0,42.89247311827957,-0.3953667583032242,-0.3680129272357739,0.7107881563127072,0.6448562207214088,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.5,0.5,186.0,31.0,42.89247311827957,-0.17299221353585092,-0.11328755476523329,0.7107881563127072,0.6575443742499755,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.6,0.6,186.0,31.0,42.89247311827957,0.294154318993356,0.14979743211086496,0.7107881563127072,0.6599412583989953,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.7,0.7,186.0,31.0,42.89247311827957,0.294154318993356,0.35329008065658596,0.7723880083264254,0.6691499412683384,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.8,0.8,186.0,31.0,42.89247311827957,0.47225999343245273,0.5060335187393735,0.7723880083264254,0.6795897031383442,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,0.9,0.9,186.0,31.0,42.89247311827957,0.5691807526229874,0.5988070551553535,0.7723880083264254,0.6871280589907245,2,0.37973996938990284,3.1288780620364727
ex1,Symmetric,1,1.0,1.0,186.0,31.0,42.89247311827957,0.7107881563127072,0.6455257881296962,0.7723880083264254,0.686758409176586,2,0.37973996938990284,3.1288780620364727
ex2,Asymmetric,0,0.01,0.01,216.0,36.0,34.004629629629626,-0.003665562442973633,0.34410945719114283,0.23387894579417523,0.4570842617856062,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.1,0.1,216.0,36.0,34.004629629629626,-0.0036752237557300086,0.2326191053200082,0.2951842020577094,0.46013555350212504,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.2,0.2,216.0,36.0,34.004629629629626,-0.003686696564628204,0.19126659783277722,0.36802144276007237,0.47035134542711876,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.3,0.3,216.0,36.0,34.004629629629626,-0.012092642494722255,0.18374692593621764,0.3905860425346349,0.4733036126502229,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.4,0.4,216.0,36.0,34.004629629629626,-0.03131684338376789,0.21096752028575544,0.3713799566070074,0.4511655289714799,2,0.22341431266356077,2.5262800581709284
