Experiment,Condition,condition_id,CS_threshold,UCS_threshold,n_trials,n_users,estimate_mean,CS_spearman,CS_pearson,UCS_spearman,UCS_pearson
ex1,Asymmetric,0,0.01,0.01,234,39,43.95726496,-0.27733427,-0.014477657,0.314476951,0.388262776
ex1,Asymmetric,0,0.1,0.1,234,39,43.95726496,-0.299522569,-0.222310047,0.4761544,0.42499661
ex1,Asymmetric,0,0.2,0.2,234,39,43.95726496,-0.30020289,-0.267817819,0.529597559,0.493322562
ex1,Asymmetric,0,0.3,0.3,234,39,43.95726496,-0.241937901,-0.240920499,0.609764643,0.567233356
ex1,Asymmetric,0,0.4,0.4,234,39,43.95726496,-0.249138976,-0.136493975,0.594131817,0.59017871
ex1,Asymmetric,0,0.5,0.5,234,39,43.95726496,-0.062251666,0.030271423,0.584810489,0.57060701
ex1,Asymmetric,0,0.6,0.6,234,39,43.95726496,0.236605597,0.20280773,0.608293743,0.556413191
ex1,Asymmetric,0,0.7,0.7,234,39,43.95726496,0.255640962,0.348774872,0.608062903,0.552202414
ex1,Asymmetric,0,0.8,0.8,234,39,43.95726496,0.39657896,0.448238894,0.636805269,0.5579426
ex1,Asymmetric,0,0.9,0.9,234,39,43.95726496,0.481660304,0.505602297,0.610518626,0.558987174
ex1,Asymmetric,0,1,1,234,39,43.95726496,0.605361797,0.540260045,0.634494056,0.561166947
ex1,Symmetric,1,0.01,0.01,186,31,42.89247312,-0.527067095,-0.340820334,0.274839053,0.243563818
ex1,Symmetric,1,0.1,0.1,186,31,42.89247312,-0.52686108,-0.53890244,0.475288199,0.305764125
ex1,Symmetric,1,0.2,0.2,186,31,42.89247312,-0.518805919,-0.568109951,0.551546281,0.428021305
ex1,Symmetric,1,0.3,0.3,186,31,42.89247312,-0.411747757,-0.517614802,0.670144992,0.569348223
ex1,Symmetric,1,0.4,0.4,186,31,42.89247312,-0.390106887,-0.366853929,0.717217397,0.644508466
ex1,Symmetric,1,0.5,0.5,186,31,42.89247312,-0.169361582,-0.116458473,0.700199675,0.655052441
ex1,Symmetric,1,0.6,0.6,186,31,42.89247312,0.29440386,0.14588093,0.710470427,0.659801292
ex1,Symmetric,1,0.7,0.7,186,31,42.89247312,0.283305306,0.358291273,0.755081896,0.668602644
ex1,Symmetric,1,0.8,0.8,186,31,42.89247312,0.466192666,0.507193573,0.754627728,0.67848768
ex1,Symmetric,1,0.9,0.9,186,31,42.89247312,0.563472638,0.597157741,0.768068291,0.684927501
ex1,Symmetric,1,1,1,186,31,42.89247312,0.703782452,0.645157516,0.75933422,0.687072062
ex2,Asymmetric,0,0.01,0.01,216,36,34.00462963,0.003974048,0.344186829,0.23211068,0.45732517
ex2,Asymmetric,0,0.1,0.1,216,36,34.00462963,-0.020627459,0.231826301,0.346253583,0.462542774
ex2,Asymmetric,0,0.2,0.2,216,36,34.00462963,-0.005727761,0.190670701,0.364641016,0.470405634
ex2,Asymmetric,0,0.3,0.3,216,36,34.00462963,-0.003867238,0.186743366,0.388431006,0.4746979
ex2,Asymmetric,0,0.4,0.4,216,36,34.00462963,-0.035258044,0.208761008,0.369934973,0.452211548
ex2,Asymmetric,0,0.5,0.5,216,36,34.00462963,0.056634963,0.246502957,0.373576061,0.406025196
ex2,Asymmetric,0,0.6,0.6,216,36,34.00462963,0.19461619,0.283477044,0.362930862,0.365805736
ex2,Asymmetric,0,0.7,0.7,216,36,34.00462963,0.196178957,0.316731501,0.404368372,0.3458275
ex2,Asymmetric,0,0.8,0.8,216,36,34.00462963,0.242806598,0.335329527,0.404891085,0.339121944
ex2,Asymmetric,0,0.9,0.9,216,36,34.00462963,0.291821055,0.346550243,0.40129296,0.335245995
ex2,Asymmetric,0,1,1,216,36,34.00462963,0.369383619,0.351484107,0.412947782,0.331962785
ex2,Symmetric,1,0.01,0.01,228,38,32.67105263,-0.328607759,0.14571061,0.334742391,0.416733848
ex2,Symmetric,1,0.1,0.1,228,38,32.67105263,-0.317499996,-0.035004252,0.448439121,0.442697344
ex2,Symmetric,1,0.2,0.2,228,38,32.67105263,-0.329652753,-0.07226381,0.521077371,0.499215836
ex2,Symmetric,1,0.3,0.3,228,38,32.67105263,-0.224840503,-0.029596808,0.637941135,0.574977422
ex2,Symmetric,1,0.4,0.4,228,38,32.67105263,-0.171464426,0.085560976,0.659297365,0.631090542
ex2,Symmetric,1,0.5,0.5,228,38,32.67105263,0.005829375,0.239252452,0.668690606,0.641269016
ex2,Symmetric,1,0.6,0.6,228,38,32.67105263,0.367961385,0.383596899,0.665108425,0.633767259
ex2,Symmetric,1,0.7,0.7,228,38,32.67105263,0.368238659,0.492448055,0.685760531,0.627781323
ex2,Symmetric,1,0.8,0.8,228,38,32.67105263,0.498088529,0.563068316,0.691435244,0.628965043
ex2,Symmetric,1,0.9,0.9,228,38,32.67105263,0.544265647,0.600753729,0.702283539,0.629612324
ex2,Symmetric,1,1,1,228,38,32.67105263,0.673108172,0.620701134,0.686608635,0.62921385
