CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
1.0,1.0,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.392,-0.478,0.548,0.612,0.548
1.0,1.0,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.618,0.692,0.164,-0.264,0.164
1.0,1.0,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.831,0.863,0.285,0.186,0.285
1.0,1.0,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.836,0.887,0.174,-0.014,0.174
1.0,1.0,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.289,-0.328,-0.495,-0.101,-0.495
1.0,1.0,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.724,0.772,0.442,0.059,0.442
1.0,1.0,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.782,0.84,0.147,-0.105,0.147
1.0,1.0,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.331,0.336,0.655,0.352,0.655
0.9,0.9,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.33,-0.468,0.548,0.612,0.548
0.9,0.9,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.54,0.688,0.164,-0.264,0.164
0.9,0.9,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.785,0.862,0.285,0.186,0.285
0.9,0.9,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.78,0.885,0.174,-0.014,0.174
0.9,0.9,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.236,-0.326,-0.495,-0.101,-0.495
0.9,0.9,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.664,0.769,0.442,0.059,0.442
0.9,0.9,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.723,0.84,0.147,-0.105,0.147
0.9,0.9,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.295,0.332,0.655,0.352,0.655
