sample_number,cover_story,mean_estimate,std_estimate,count,condition
1,1,11.0,74.505,3,対称否定_オンライン
1,2,72.143,19.117,7,対称否定_オンライン
1,3,70.5,14.849,2,対称否定_オンライン
1,4,52.5,17.678,2,対称否定_オンライン
1,5,90.5,13.435,2,対称否定_オンライン
1,6,59.5,27.343,4,対称否定_オンライン
1,7,43.333,20.817,3,対称否定_オンライン
1,8,53.75,16.008,4,対称否定_オンライン
1,9,42.5,29.958,6,対称否定_オンライン
1,10,20.0,0.0,1,対称否定_オンライン
1,11,76.0,0.0,1,対称否定_オンライン
1,12,35.0,31.225,3,対称否定_オンライン
2,1,22.333,39.068,3,対称否定_オンライン
2,2,17.25,9.845,4,対称否定_オンライン
2,3,13.333,5.774,3,対称否定_オンライン
2,4,40.0,0.0,1,対称否定_オンライン
2,5,33.0,23.324,5,対称否定_オンライン
2,6,30.0,0.0,1,対称否定_オンライン
2,7,38.667,17.616,3,対称否定_オンライン
2,8,49.375,26.785,8,対称否定_オンライン
2,9,5.0,7.071,2,対称否定_オンライン
2,10,19.5,27.577,2,対称否定_オンライン
2,11,56.667,11.547,3,対称否定_オンライン
2,12,20.0,34.641,3,対称否定_オンライン
3,1,0.0,0.0,3,対称否定_オンライン
3,2,0.0,0.0,3,対称否定_オンライン
3,3,0.0,0.0,4,対称否定_オンライン
3,4,0.0,0.0,2,対称否定_オンライン
3,5,-2.5,3.536,2,対称否定_オンライン
3,6,0.0,0.0,2,対称否定_オンライン
3,7,0.0,0.0,1,対称否定_オンライン
3,8,10.0,22.361,5,対称否定_オンライン
3,9,0.0,0.0,2,対称否定_オンライン
3,10,0.4,0.894,5,対称否定_オンライン
3,11,-1.429,3.78,7,対称否定_オンライン
3,12,0.0,0.0,2,対称否定_オンライン
4,1,23.333,49.261,6,対称否定_オンライン
4,2,62.0,33.645,3,対称否定_オンライン
4,3,62.5,30.687,4,対称否定_オンライン
4,4,53.0,29.103,3,対称否定_オンライン
4,5,41.667,27.538,3,対称否定_オンライン
4,6,51.25,25.617,4,対称否定_オンライン
4,7,49.0,24.515,3,対称否定_オンライン
4,8,65.0,21.213,2,対称否定_オンライン
4,9,49.0,12.728,2,対称否定_オンライン
4,10,65.5,21.92,2,対称否定_オンライン
4,11,66.5,47.376,2,対称否定_オンライン
4,12,73.75,12.5,4,対称否定_オンライン
5,1,23.667,37.754,3,対称否定_オンライン
5,2,76.0,0.0,1,対称否定_オンライン
5,3,39.333,12.897,3,対称否定_オンライン
5,4,51.667,16.073,3,対称否定_オンライン
5,5,38.6,28.545,5,対称否定_オンライン
5,6,60.0,0.0,1,対称否定_オンライン
5,7,32.25,26.336,4,対称否定_オンライン
5,8,15.0,21.213,2,対称否定_オンライン
5,9,45.0,24.324,7,対称否定_オンライン
5,10,29.2,7.294,5,対称否定_オンライン
5,11,11.5,9.192,2,対称否定_オンライン
5,12,59.0,12.728,2,対称否定_オンライン
6,1,0.0,0.0,1,対称否定_オンライン
6,2,0.0,0.0,0,対称否定_オンライン
6,3,51.0,60.811,2,対称否定_オンライン
6,4,8.0,9.899,2,対称否定_オンライン
6,5,10.0,0.0,1,対称否定_オンライン
6,6,22.0,38.503,5,対称否定_オンライン
6,7,46.667,47.258,3,対称否定_オンライン
6,8,41.0,51.118,3,対称否定_オンライン
6,9,6.857,45.631,7,対称否定_オンライン
6,10,7.5,5.0,4,対称否定_オンライン
6,11,18.571,21.157,7,対称否定_オンライン
6,12,21.667,20.207,3,対称否定_オンライン
1,1,63.5,19.092,2,対称否定_サマリー
1,2,61.2,32.089,5,対称否定_サマリー
1,3,80.0,0.0,1,対称否定_サマリー
1,4,67.75,14.841,4,対称否定_サマリー
1,5,70.0,18.028,3,対称否定_サマリー
1,6,95.0,0.0,1,対称否定_サマリー
1,7,73.0,18.385,2,対称否定_サマリー
1,8,60.5,19.0,4,対称否定_サマリー
1,9,0.0,0.0,0,対称否定_サマリー
1,10,47.5,38.891,2,対称否定_サマリー
1,11,63.333,17.523,6,対称否定_サマリー
1,12,67.5,10.607,2,対称否定_サマリー
2,1,43.333,15.275,3,対称否定_サマリー
2,2,61.667,16.073,3,対称否定_サマリー
2,3,52.667,26.102,3,対称否定_サマリー
2,4,41.667,10.408,3,対称否定_サマリー
2,5,50.0,0.0,1,対称否定_サマリー
2,6,0.0,0.0,0,対称否定_サマリー
2,7,43.333,29.439,6,対称否定_サマリー
2,8,37.5,13.229,4,対称否定_サマリー
2,9,50.5,0.707,2,対称否定_サマリー
2,10,0.0,0.0,0,対称否定_サマリー
2,11,65.667,14.012,3,対称否定_サマリー
2,12,34.25,15.966,4,対称否定_サマリー
3,1,0.0,0.0,0,対称否定_サマリー
3,2,0.0,0.0,2,対称否定_サマリー
3,3,0.0,0.0,2,対称否定_サマリー
3,4,0.0,0.0,6,対称否定_サマリー
3,5,0.0,0.0,1,対称否定_サマリー
3,6,0.0,0.0,6,対称否定_サマリー
3,7,0.0,0.0,5,対称否定_サマリー
3,8,0.0,0.0,1,対称否定_サマリー
3,9,0.0,0.0,5,対称否定_サマリー
3,10,0.0,0.0,2,対称否定_サマリー
3,11,0.0,0.0,1,対称否定_サマリー
3,12,0.0,0.0,1,対称否定_サマリー
4,1,83.0,18.385,2,対称否定_サマリー
4,2,69.0,26.514,3,対称否定_サマリー
4,3,72.5,17.678,2,対称否定_サマリー
4,4,80.667,14.364,3,対称否定_サマリー
4,5,42.0,23.065,3,対称否定_サマリー
4,6,69.0,13.416,5,対称否定_サマリー
4,7,61.5,2.121,2,対称否定_サマリー
4,8,70.0,14.142,2,対称否定_サマリー
4,9,90.0,13.229,3,対称否定_サマリー
4,10,61.333,13.614,3,対称否定_サマリー
4,11,79.0,0.0,1,対称否定_サマリー
4,12,68.0,13.115,3,対称否定_サマリー
5,1,62.5,17.678,2,対称否定_サマリー
5,2,65.5,0.707,2,対称否定_サマリー
5,3,56.667,15.275,3,対称否定_サマリー
5,4,47.5,25.671,4,対称否定_サマリー
5,5,70.0,14.142,4,対称否定_サマリー
5,6,60.0,0.0,1,対称否定_サマリー
5,7,53.2,13.554,5,対称否定_サマリー
5,8,59.2,6.573,5,対称否定_サマリー
5,9,49.5,34.648,2,対称否定_サマリー
5,10,0.0,0.0,0,対称否定_サマリー
5,11,80.0,0.0,1,対称否定_サマリー
5,12,51.0,18.248,3,対称否定_サマリー
6,1,7.0,38.184,2,対称否定_サマリー
6,2,5.0,0.0,1,対称否定_サマリー
6,3,5.0,5.0,3,対称否定_サマリー
6,4,10.0,0.0,1,対称否定_サマリー
6,5,6.0,4.546,4,対称否定_サマリー
6,6,10.0,7.071,2,対称否定_サマリー
6,7,20.0,14.142,2,対称否定_サマリー
6,8,44.0,55.154,2,対称否定_サマリー
6,9,27.75,41.532,4,対称否定_サマリー
6,10,61.25,41.708,4,対称否定_サマリー
6,11,5.0,0.0,1,対称否定_サマリー
6,12,11.833,7.885,6,対称否定_サマリー
1,1,42.5,10.607,2,非対称否定_オンライン
1,2,27.333,28.572,3,非対称否定_オンライン
1,3,41.667,23.166,6,非対称否定_オンライン
1,4,37.429,19.823,7,非対称否定_オンライン
1,5,63.333,32.316,3,非対称否定_オンライン
1,6,7.5,57.276,2,非対称否定_オンライン
1,7,43.333,49.329,3,非対称否定_オンライン
1,8,27.5,23.629,4,非対称否定_オンライン
1,9,33.0,24.042,2,非対称否定_オンライン
1,10,41.0,12.728,2,非対称否定_オンライン
1,11,40.0,0.0,3,非対称否定_オンライン
1,12,37.5,17.678,2,非対称否定_オンライン
2,1,41.0,24.083,5,非対称否定_オンライン
2,2,0.0,0.0,0,非対称否定_オンライン
2,3,39.667,21.572,3,非対称否定_オンライン
2,4,50.5,21.92,2,非対称否定_オンライン
2,5,37.857,24.545,7,非対称否定_オンライン
2,6,16.5,33.234,2,非対称否定_オンライン
2,7,37.0,20.797,5,非対称否定_オンライン
2,8,48.0,28.844,3,非対称否定_オンライン
2,9,50.0,28.062,5,非対称否定_オンライン
2,10,34.333,35.019,3,非対称否定_オンライン
2,11,84.5,20.506,2,非対称否定_オンライン
2,12,22.0,18.385,2,非対称否定_オンライン
3,1,56.75,41.58,4,非対称否定_オンライン
3,2,22.75,50.973,4,非対称否定_オンライン
3,3,25.0,35.355,2,非対称否定_オンライン
3,4,24.5,29.939,4,非対称否定_オンライン
3,5,0.0,0.0,1,非対称否定_オンライン
3,6,28.75,47.675,4,非対称否定_オンライン
3,7,0.0,0.0,2,非対称否定_オンライン
3,8,0.0,0.0,1,非対称否定_オンライン
3,9,-6.75,16.998,4,非対称否定_オンライン
3,10,-12.0,21.679,5,非対称否定_オンライン
3,11,18.0,29.496,5,非対称否定_オンライン
3,12,10.0,17.321,3,非対称否定_オンライン
4,1,63.333,27.538,3,非対称否定_オンライン
4,2,35.0,32.249,6,非対称否定_オンライン
4,3,49.0,28.373,5,非対称否定_オンライン
4,4,52.667,6.429,3,非対称否定_オンライン
4,5,48.0,16.971,2,非対称否定_オンライン
4,6,60.0,14.142,2,非対称否定_オンライン
4,7,13.5,61.518,2,非対称否定_オンライン
4,8,42.5,15.546,4,非対称否定_オンライン
4,9,55.4,17.63,5,非対称否定_オンライン
4,10,0.0,0.0,0,非対称否定_オンライン
4,11,56.333,20.033,3,非対称否定_オンライン
4,12,23.25,14.104,4,非対称否定_オンライン
5,1,43.75,18.875,4,非対称否定_オンライン
5,2,22.5,22.174,4,非対称否定_オンライン
5,3,0.0,0.0,0,非対称否定_オンライン
5,4,0.0,0.0,0,非対称否定_オンライン
5,5,54.8,13.461,5,非対称否定_オンライン
5,6,40.333,35.138,6,非対称否定_オンライン
5,7,57.5,17.678,2,非対称否定_オンライン
5,8,15.5,16.052,4,非対称否定_オンライン
5,9,55.0,0.0,1,非対称否定_オンライン
5,10,59.286,29.921,7,非対称否定_オンライン
5,11,32.2,28.455,5,非対称否定_オンライン
5,12,-15.0,0.0,1,非対称否定_オンライン
6,1,37.5,29.861,4,非対称否定_オンライン
6,2,58.5,51.619,2,非対称否定_オンライン
6,3,17.5,17.078,4,非対称否定_オンライン
6,4,30.0,21.213,2,非対称否定_オンライン
6,5,30.25,47.612,4,非対称否定_オンライン
6,6,50.0,0.0,1,非対称否定_オンライン
6,7,49.75,57.448,4,非対称否定_オンライン
6,8,61.0,15.556,2,非対称否定_オンライン
6,9,-55.0,0.0,1,非対称否定_オンライン
6,10,41.333,25.423,3,非対称否定_オンライン
6,11,15.0,19.365,7,非対称否定_オンライン
6,12,10.2,7.43,5,非対称否定_オンライン
1,1,-5.0,63.64,2,非対称否定_サマリー
1,2,74.0,19.799,2,非対称否定_サマリー
1,3,56.0,8.446,4,非対称否定_サマリー
1,4,73.0,15.535,4,非対称否定_サマリー
1,5,48.333,19.149,6,非対称否定_サマリー
1,6,50.75,13.451,4,非対称否定_サマリー
1,7,58.667,14.154,3,非対称否定_サマリー
1,8,50.0,0.0,2,非対称否定_サマリー
1,9,63.75,16.008,4,非対称否定_サマリー
1,10,50.0,0.0,1,非対称否定_サマリー
1,11,59.25,15.735,4,非対称否定_サマリー
1,12,63.333,15.275,3,非対称否定_サマリー
2,1,32.5,18.646,4,非対称否定_サマリー
2,2,45.5,20.68,4,非対称否定_サマリー
2,3,57.667,26.16,3,非対称否定_サマリー
2,4,51.0,0.0,1,非対称否定_サマリー
2,5,28.667,19.757,3,非対称否定_サマリー
2,6,42.333,15.373,3,非対称否定_サマリー
2,7,30.5,24.31,4,非対称否定_サマリー
2,8,70.0,28.284,2,非対称否定_サマリー
2,9,54.0,10.583,3,非対称否定_サマリー
2,10,35.0,17.321,4,非対称否定_サマリー
2,11,60.0,10.0,3,非対称否定_サマリー
2,12,37.2,16.392,5,非対称否定_サマリー
3,1,24.375,45.154,8,非対称否定_サマリー
3,2,5.0,5.0,3,非対称否定_サマリー
3,3,0.0,0.0,2,非対称否定_サマリー
3,4,0.0,0.0,3,非対称否定_サマリー
3,5,30.0,0.0,1,非対称否定_サマリー
3,6,0.0,0.0,2,非対称否定_サマリー
3,7,2.667,20.136,6,非対称否定_サマリー
3,8,0.0,0.0,2,非対称否定_サマリー
3,9,10.5,13.916,4,非対称否定_サマリー
3,10,10.0,0.0,1,非対称否定_サマリー
3,11,0.0,0.0,3,非対称否定_サマリー
3,12,-7.0,16.062,4,非対称否定_サマリー
4,1,74.0,17.692,3,非対称否定_サマリー
4,2,71.333,8.083,3,非対称否定_サマリー
4,3,64.667,5.033,3,非対称否定_サマリー
4,4,81.667,27.538,3,非対称否定_サマリー
4,5,72.5,24.749,2,非対称否定_サマリー
4,6,62.333,4.933,3,非対称否定_サマリー
4,7,71.714,18.67,7,非対称否定_サマリー
4,8,68.0,16.971,2,非対称否定_サマリー
4,9,41.333,12.662,3,非対称否定_サマリー
4,10,61.5,13.528,4,非対称否定_サマリー
4,11,65.5,17.54,4,非対称否定_サマリー
4,12,53.0,4.243,2,非対称否定_サマリー
5,1,0.0,0.0,0,非対称否定_サマリー
5,2,55.0,30.0,3,非対称否定_サマリー
5,3,57.5,9.574,4,非対称否定_サマリー
5,4,44.0,16.371,3,非対称否定_サマリー
5,5,69.25,28.064,4,非対称否定_サマリー
5,6,70.0,0.0,1,非対称否定_サマリー
5,7,60.0,33.665,4,非対称否定_サマリー
5,8,66.143,17.024,7,非対称否定_サマリー
5,9,65.667,4.041,3,非対称否定_サマリー
5,10,67.0,2.646,3,非対称否定_サマリー
5,11,50.0,0.0,1,非対称否定_サマリー
5,12,60.667,18.129,6,非対称否定_サマリー
6,1,12.5,12.583,4,非対称否定_サマリー
6,2,42.5,38.891,2,非対称否定_サマリー
6,3,80.0,0.0,1,非対称否定_サマリー
6,4,10.5,10.149,4,非対称否定_サマリー
6,5,54.0,44.174,4,非対称否定_サマリー
6,6,46.667,44.46,6,非対称否定_サマリー
6,7,0.0,0.0,0,非対称否定_サマリー
6,8,63.333,47.258,3,非対称否定_サマリー
6,9,28.167,27.125,6,非対称否定_サマリー
6,10,6.5,6.364,2,非対称否定_サマリー
6,11,12.5,16.663,4,非対称否定_サマリー
6,12,8.333,2.887,3,非対称否定_サマリー
