CS_threshold,UCS_threshold,実験タイプ,条件,ストーリー,グループ,n,CRT_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
1.0,1.0,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.963,0.976,0.482,0.196,0.482
1.0,1.0,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,0.812,0.845,0.322,0.167,0.322
1.0,1.0,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,0.336,0.36,0.592,0.239,0.592
1.0,1.0,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,0.859,0.906,0.068,-0.041,0.068
1.0,1.0,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,0.602,0.579,0.866,0.614,0.866
1.0,1.0,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,0.531,0.569,0.641,0.143,0.641
1.0,1.0,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,0.814,0.85,0.69,0.441,0.69
1.0,1.0,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,0.335,0.385,0.526,-0.031,0.526
1.0,1.0,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,0.388,0.466,0.058,-0.39,0.058
1.0,1.0,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,0.66,0.722,0.283,-0.093,0.283
1.0,1.0,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,0.677,0.744,0.057,-0.271,0.057
1.0,1.0,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.811,0.807,0.178,-0.14,0.178
1.0,1.0,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,0.779,0.825,-0.049,-0.03,-0.049
1.0,1.0,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,0.618,0.697,0.095,-0.31,0.095
1.0,1.0,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,0.774,0.837,0.008,-0.17,0.008
1.0,1.0,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,0.888,0.93,0.166,0.04,0.166
1.0,1.0,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,0.475,0.566,-0.012,-0.386,-0.012
1.0,1.0,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,0.826,0.869,-0.016,-0.185,-0.016
1.0,1.0,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,0.781,0.835,0.123,-0.059,0.123
1.0,1.0,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,0.751,0.777,0.547,0.269,0.547
1.0,1.0,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,0.869,0.912,0.504,0.134,0.504
1.0,1.0,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,0.577,0.558,0.745,0.745,0.745
1.0,1.0,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,0.601,0.678,0.175,-0.278,0.175
1.0,1.0,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,0.862,0.904,0.186,0.044,0.186
1.0,1.0,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,0.454,0.415,0.078,0.351,0.078
1.0,1.0,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,-0.099,-0.149,0.497,0.822,0.497
1.0,1.0,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,0.788,0.829,-0.093,-0.195,-0.093
1.0,1.0,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,0.556,0.607,0.171,-0.25,0.171
1.0,1.0,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,0.651,0.715,0.259,-0.021,0.259
1.0,1.0,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.179,0.134,0.889,0.715,0.889
1.0,1.0,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,-0.102,-0.06,0.332,-0.149,0.332
1.0,1.0,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.146,0.132,0.354,0.187,0.354
1.0,1.0,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.787,0.749,-0.086,-0.457,-0.086
1.0,1.0,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.785,0.647,0.599,-0.009,0.599
1.0,1.0,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,0.256,0.322,-0.272,-0.609,-0.272
1.0,1.0,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.855,0.843,-0.526,0.011,-0.526
1.0,1.0,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,0.419,0.492,0.219,-0.371,0.219
1.0,1.0,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,0.681,0.726,0.621,0.411,0.621
1.0,1.0,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,0.792,0.778,0.453,0.572,0.453
1.0,1.0,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,0.7,0.769,0.153,-0.186,0.153
1.0,1.0,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.766,0.788,-0.174,-0.109,-0.174
1.0,1.0,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,0.694,0.745,0.333,0.033,0.333
1.0,1.0,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,0.566,0.587,0.462,0.246,0.462
1.0,1.0,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,0.714,0.721,0.065,0.182,0.065
1.0,1.0,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,0.82,0.846,0.424,0.288,0.424
1.0,1.0,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,0.808,0.819,0.497,0.286,0.497
1.0,1.0,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.816,0.826,-0.196,-0.08,-0.196
1.0,1.0,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,0.749,0.765,0.667,0.329,0.667
0.9,0.9,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.95,0.973,0.482,0.196,0.482
0.9,0.9,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,0.762,0.847,0.322,0.167,0.322
0.9,0.9,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,0.296,0.356,0.592,0.239,0.592
0.9,0.9,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,0.809,0.903,0.068,-0.041,0.068
0.9,0.9,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,0.591,0.586,0.866,0.614,0.866
0.9,0.9,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,0.467,0.568,0.641,0.143,0.641
0.9,0.9,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,0.763,0.844,0.69,0.441,0.69
0.9,0.9,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,0.262,0.375,0.526,-0.031,0.526
0.9,0.9,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,0.3,0.466,0.058,-0.39,0.058
0.9,0.9,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,0.599,0.72,0.283,-0.093,0.283
0.9,0.9,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,0.606,0.748,0.057,-0.271,0.057
0.9,0.9,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.791,0.817,0.178,-0.14,0.178
0.9,0.9,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,0.734,0.818,-0.049,-0.03,-0.049
0.9,0.9,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,0.544,0.698,0.095,-0.31,0.095
0.9,0.9,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,0.716,0.836,0.008,-0.17,0.008
0.9,0.9,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,0.843,0.927,0.166,0.04,0.166
0.9,0.9,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,0.396,0.553,-0.012,-0.386,-0.012
0.9,0.9,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,0.782,0.864,-0.016,-0.185,-0.016
0.9,0.9,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,0.724,0.832,0.123,-0.059,0.123
0.9,0.9,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,0.707,0.777,0.547,0.269,0.547
0.9,0.9,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,0.811,0.91,0.504,0.134,0.504
0.9,0.9,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,0.561,0.562,0.745,0.745,0.745
0.9,0.9,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,0.526,0.674,0.175,-0.278,0.175
0.9,0.9,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,0.813,0.902,0.186,0.044,0.186
0.9,0.9,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,0.497,0.418,0.078,0.351,0.078
0.9,0.9,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,-0.083,-0.146,0.497,0.822,0.497
0.9,0.9,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,0.743,0.826,-0.093,-0.195,-0.093
0.9,0.9,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,0.499,0.603,0.171,-0.25,0.171
0.9,0.9,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,0.588,0.7,0.259,-0.021,0.259
0.9,0.9,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.233,0.12,0.889,0.715,0.889
0.9,0.9,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,-0.174,-0.063,0.332,-0.149,0.332
0.9,0.9,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.125,0.132,0.354,0.187,0.354
0.9,0.9,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.787,0.756,-0.086,-0.457,-0.086
0.9,0.9,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.789,0.687,0.599,-0.009,0.599
0.9,0.9,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,0.188,0.322,-0.272,-0.609,-0.272
0.9,0.9,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.855,0.854,-0.526,0.011,-0.526
0.9,0.9,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,0.342,0.499,0.219,-0.371,0.219
0.9,0.9,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,0.638,0.72,0.621,0.411,0.621
0.9,0.9,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,0.785,0.78,0.453,0.572,0.453
0.9,0.9,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,0.63,0.764,0.153,-0.186,0.153
0.9,0.9,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.742,0.791,-0.174,-0.109,-0.174
0.9,0.9,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,0.632,0.737,0.333,0.033,0.333
0.9,0.9,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,0.527,0.579,0.462,0.246,0.462
0.9,0.9,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,0.7,0.722,0.065,0.182,0.065
0.9,0.9,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,0.791,0.841,0.424,0.288,0.424
0.9,0.9,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,0.778,0.822,0.497,0.286,0.497
0.9,0.9,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.81,0.831,-0.196,-0.08,-0.196
0.9,0.9,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,0.711,0.76,0.667,0.329,0.667
0.8,0.8,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.91,0.973,0.482,0.196,0.482
0.8,0.8,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,0.686,0.839,0.322,0.167,0.322
0.8,0.8,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,0.255,0.351,0.592,0.239,0.592
0.8,0.8,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,0.709,0.902,0.068,-0.041,0.068
0.8,0.8,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,0.571,0.592,0.866,0.614,0.866
0.8,0.8,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,0.378,0.569,0.641,0.143,0.641
0.8,0.8,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,0.685,0.843,0.69,0.441,0.69
0.8,0.8,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,0.182,0.372,0.526,-0.031,0.526
0.8,0.8,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,0.164,0.457,0.058,-0.39,0.058
0.8,0.8,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,0.481,0.709,0.283,-0.093,0.283
0.8,0.8,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,0.472,0.735,0.057,-0.271,0.057
0.8,0.8,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.75,0.821,0.178,-0.14,0.178
0.8,0.8,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,0.631,0.814,-0.049,-0.03,-0.049
0.8,0.8,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,0.405,0.684,0.095,-0.31,0.095
0.8,0.8,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,0.596,0.828,0.008,-0.17,0.008
0.8,0.8,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,0.741,0.921,0.166,0.04,0.166
0.8,0.8,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,0.254,0.543,-0.012,-0.386,-0.012
0.8,0.8,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,0.699,0.862,-0.016,-0.185,-0.016
0.8,0.8,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,0.612,0.823,0.123,-0.059,0.123
0.8,0.8,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,0.628,0.777,0.547,0.269,0.547
0.8,0.8,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,0.707,0.904,0.504,0.134,0.504
0.8,0.8,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,0.577,0.549,0.745,0.745,0.745
0.8,0.8,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,0.389,0.663,0.175,-0.278,0.175
