CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
1.0,1.0,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.391,-0.474,0.548,0.612,0.548
1.0,1.0,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.619,0.691,0.164,-0.264,0.164
1.0,1.0,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.831,0.86,0.285,0.186,0.285
1.0,1.0,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.836,0.882,0.174,-0.014,0.174
1.0,1.0,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.288,-0.337,-0.495,-0.101,-0.495
1.0,1.0,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.72,0.773,0.442,0.059,0.442
1.0,1.0,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.781,0.846,0.147,-0.105,0.147
1.0,1.0,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.332,0.331,0.655,0.352,0.655
0.9,0.9,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.332,-0.47,0.548,0.612,0.548
0.9,0.9,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.544,0.686,0.164,-0.264,0.164
0.9,0.9,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.787,0.861,0.285,0.186,0.285
0.9,0.9,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.781,0.889,0.174,-0.014,0.174
0.9,0.9,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.238,-0.328,-0.495,-0.101,-0.495
0.9,0.9,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.666,0.769,0.442,0.059,0.442
0.9,0.9,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.722,0.836,0.147,-0.105,0.147
