CS_threshold,UCS_threshold,実験タイプ,条件,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
1,1,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,0.563,0.6,0.612,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
1,1,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,0.852,0.886,0.89,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.951,0.943,0.946,1,-0.641,-0.429,-0.639,-0.429,,,,
1,1,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,0.733,0.886,0.772,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
1,1,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,0.783,0.943,0.839,1,0.225,0.293,-0.055,0.147,0.225,0.293,0.898,1,0.89,1,-0.772,-0.486,-0.787,-0.486,,,,
0.9,0.9,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,0.486,0.371,0.627,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.9,0.9,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,0.798,0.771,0.9,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.941,0.886,0.95,0.943,-0.59,-0.429,-0.616,-0.429,,,,
0.9,0.9,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,0.669,0.771,0.782,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.9,0.9,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,0.721,0.829,0.846,1,0.225,0.293,-0.055,0.147,0.225,0.293,0.866,0.943,0.899,1,-0.732,-0.486,-0.748,-0.486,,,,
0.8,0.8,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,0.366,0.257,0.646,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.8,0.8,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,0.708,0.657,0.906,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.933,0.771,0.974,0.943,-0.578,-0.429,-0.603,-0.429,,,,
