user_id,Cond,ex1_estimate,ex2_estimate,cluster_summary,cluster_online
mclkxfz3rgz1pibicz.sss,0,56.666666666666664,19.166666666666668,1.0,0.0
mcll4bmhw0znkuzj99.sss,1,58.0,23.0,1.0,1.0
mcll4ctj75ys035ren.wee,0,15.0,11.333333333333334,0.0,0.0
mcll4p2b9leju4ephg.p77,0,39.666666666666664,22.0,0.0,0.0
mcll4qx9fuj8krv92g.wee,1,47.5,63.333333333333336,1.0,0.0
mcll4rmr92dljfi9xm.p77,0,35.833333333333336,27.5,0.0,0.0
mcll50bcy1zv872u86.lll,1,56.666666666666664,25.0,1.0,1.0
mcll52ujpq0yf77ww4,1,15.833333333333334,36.166666666666664,0.0,0.0
mcll5335u98sk4zlq7,0,43.666666666666664,42.5,0.0,1.0
mcll53kpea68dgzp2d.p77,0,50.833333333333336,27.166666666666668,1.0,0.0
mcll53y5mokezfxqsl.3ll,0,53.833333333333336,27.333333333333332,1.0,0.0
mcll56sd75db8qaxqx,1,45.0,39.166666666666664,1.0,0.0
mcll5aimswpxusnyiu.lll,1,25.833333333333332,20.0,0.0,1.0
mcll5az7vbgbiykzed,1,61.166666666666664,51.166666666666664,1.0,0.0
mcll5c1wv85unn3sp0.eee,1,40.0,27.5,0.0,1.0
mcll5d8gtm7gpvejzy.eee,0,47.0,23.0,0.0,0.0
mcll5i6tngqzd7yacu,0,30.833333333333332,11.666666666666666,0.0,0.0
mcll5irw6hyl31z7h7.sss,1,40.833333333333336,3.5,0.0,1.0
mcll5l2iepz2wdz81b,1,61.166666666666664,-3.0,1.0,1.0
mcll5n2tno4ajmj2cj.sss,0,36.666666666666664,20.0,0.0,0.0
mcll5orr7i85sm6ff1,0,58.5,28.0,1.0,0.0
mcll5ry0686i2m8pyy.i,1,29.333333333333332,18.5,0.0,1.0
mcll63uzmmcu60sol7,0,23.166666666666668,14.5,0.0,0.0
mcll65gjnnb9ef7xfxz,1,16.333333333333332,26.666666666666668,0.0,1.0
mcll67un6dq3qzcvqy.3ll,0,45.5,59.0,0.0,1.0
mcll69r400de3351rn.3ll,0,26.666666666666668,14.166666666666666,0.0,0.0
mcll69xpg7665ebw41.sss,1,24.0,18.833333333333332,0.0,1.0
mcll6afnfrq9o2x0jk.777,1,50.0,23.333333333333332,1.0,1.0
mcll6bmok1n0njv0ab.eee,0,58.0,6.333333333333333,1.0,0.0
mcll6gl3azf90l1dyb.wee,0,51.666666666666664,15.0,1.0,0.0
mcll6i5ndu9zsn77sq.lll,0,55.833333333333336,27.5,1.0,0.0
mcll6io834fgdcmx9b.eee,0,48.5,50.0,0.0,1.0
mcll6mo2fmxw9hy2cr.i,1,28.333333333333332,31.666666666666668,0.0,1.0
mcll6o8fsheywxs2bg.ass,1,36.833333333333336,33.5,0.0,1.0
mcll6pjb5sht5l4grc.eee,1,52.666666666666664,31.5,1.0,1.0
mcll6pqayp5g03ajyy.lll,0,57.5,73.33333333333333,1.0,1.0
mcll74eoaxj4gdji59.777,0,46.666666666666664,44.166666666666664,0.0,1.0
mcll74m49tz5dbzdvw.i,0,65.66666666666667,94.33333333333333,1.0,1.0
mcll75x1khrd37rv6o.3ll,0,40.833333333333336,45.0,0.0,1.0
mcll7c21qd9v2guhtr,1,46.666666666666664,24.5,1.0,1.0
mcll7fvxc800uiqgo8.eee,1,38.333333333333336,50.0,0.0,0.0
mcll7g1wnjo34rftxf,0,35.166666666666664,19.5,0.0,0.0
mcll7k4xxus6re6pgl.sss,0,78.33333333333333,46.333333333333336,1.0,1.0
mcll7l8t73kp42x45p,0,30.833333333333332,26.666666666666668,0.0,0.0
mcll7my7at5u4pncux,1,39.666666666666664,20.833333333333332,0.0,1.0
mcll7o7izxwcup5a2m,0,31.333333333333332,13.166666666666666,0.0,0.0
mcll7roqioitd7jxqt.p77,1,37.666666666666664,39.166666666666664,0.0,0.0
mcll7ssqm0fpuv40rq.eee,1,29.166666666666668,20.0,0.0,1.0
mcll7ucumfq161wvm0.sss,0,34.0,33.333333333333336,0.0,0.0
mcll7xcpe3xxlwp8ze.i,0,25.0,16.666666666666668,0.0,0.0
mcll7z4qczwymqcdkx.i,1,43.333333333333336,45.833333333333336,1.0,0.0
mcll88l4qcxkx40mm3k.ee,0,36.666666666666664,42.833333333333336,0.0,1.0
mcll8igionx3zx5igc.sss,1,24.5,20.166666666666668,0.0,1.0
mcll8j4hhna0cjf4h7.lll,0,32.5,25.0,0.0,0.0
mcll9pp4h1gfdq6330.777,0,80.0,45.833333333333336,1.0,1.0
mclla4g5vquediuf89d.i,1,50.0,42.833333333333336,1.0,0.0
mcllb27o8tzti74md4,0,57.666666666666664,18.5,1.0,0.0
mcllbbdxglsrr4ouk3.wee,0,45.666666666666664,58.833333333333336,0.0,1.0
mcllc2b6t7ytoskbnv,0,37.5,37.5,0.0,1.0
mcllci79nopymd7qbk.sss,1,32.166666666666664,30.166666666666668,0.0,1.0
mcllcs7ec11q9tcwbm.i,1,39.166666666666664,38.333333333333336,0.0,0.0
mclldfjef7659272y2.sss,0,46.666666666666664,13.333333333333334,0.0,0.0
mclldmkzp3xzpq2lkk.i,1,38.333333333333336,47.5,0.0,0.0
mclldzm9rzls0ymtxr.3ll,1,31.666666666666668,34.166666666666664,0.0,0.0
mcllfwq1mhlrbe5ga1.777,1,43.333333333333336,42.0,1.0,0.0
mcllguv9x4e4hzt9q4.3ll,1,56.666666666666664,39.166666666666664,1.0,0.0
mcllhtswk2ekv8wshn.eee,0,51.666666666666664,48.333333333333336,1.0,1.0
mcllibvr9e05yx24fh.i,1,39.166666666666664,19.166666666666668,0.0,1.0
mcllldkue64p2zj1l3.lll,0,57.5,18.333333333333332,1.0,0.0
mcllm5t1mi2e7z7ywo.3ll,0,59.166666666666664,45.833333333333336,1.0,1.0
mcllmap6dy1q2pjwoh,0,42.5,21.166666666666668,0.0,0.0
mcllmuryujcal0yqid.lll,1,35.833333333333336,45.666666666666664,0.0,0.0
mcllpd3f2mx4jqqwww.eee,0,45.833333333333336,30.0,0.0,0.0
mcllv4m90m0sa7y0bbx.ll,1,40.0,41.666666666666664,0.0,0.0
mcllxmwnl5s6v7za3w.3ll,0,71.5,36.666666666666664,1.0,1.0
mcllz6prnmxsed7js2.ass,1,40.0,23.666666666666668,0.0,1.0
mcllzgxg5maq17u5nc,0,26.666666666666668,15.0,0.0,0.0
mclm08q7rknfvd271a.i,1,35.5,40.166666666666664,0.0,0.0
mclm40c7io87bchvzx.p77,0,36.666666666666664,43.333333333333336,0.0,1.0
mclmfe2ao14plnw3b3.lll,1,34.833333333333336,30.0,0.0,1.0
mcln9gt4v184bt5q8y.p77,1,34.666666666666664,30.0,0.0,1.0
mcln9le5ofgf0m3sph.p77,0,70.83333333333333,55.0,1.0,1.0
mcln9s7wign1xc1nx3.i,1,39.166666666666664,16.666666666666668,0.0,1.0
mcln9xo5t81bgfw4nm.ass,0,35.833333333333336,54.666666666666664,0.0,1.0
mcln9z3kj7p2n3j1xr.eee,1,40.833333333333336,2.0,0.0,1.0
mcln9zaxd239xajjak.wee,0,43.333333333333336,40.0,0.0,1.0
mcln9zhzfsqn5t376k.3ll,1,31.666666666666668,21.666666666666668,0.0,1.0
mclna0mx9w4yqta7ae.eee,1,45.0,51.666666666666664,1.0,0.0
mclna1mkyreqtne4lm.wee,0,31.5,24.166666666666668,0.0,0.0
mclna2pbkes5dt9wru.sss,0,50.833333333333336,18.333333333333332,1.0,0.0
mclna9vjc53rjf7meg.3ll,0,35.0,22.5,0.0,0.0
mclnacenjw3v7p7mwv,1,46.333333333333336,50.833333333333336,1.0,0.0
mclnaehcjy2j1sbacr.eee,1,38.333333333333336,44.166666666666664,0.0,0.0
mclnal6x0y53btq18j.777,0,37.5,26.666666666666668,0.0,0.0
mclnamrgnfkuwif54u,1,38.333333333333336,53.333333333333336,0.0,0.0
mclnamxkgqjz4quvtv.sss,0,38.166666666666664,54.0,0.0,1.0
mclnantzqx2h8rjgam.sss,0,38.5,35.166666666666664,0.0,1.0
mclnao57zgs713pemj.eee,0,29.166666666666668,23.833333333333332,0.0,0.0
