条件,sample_number,n,平均,標準偏差,最小値,25%tile,中央値,75%tile,最大値
非対称否定_サマリー,1,39,51.59,21.217,-30,50.0,50.0,60.0,90
非対称否定_サマリー,2,39,47.205,15.528,12,34.0,50.0,60.0,85
非対称否定_サマリー,3,39,16.846,37.473,-20,0.0,0.0,0.0,100
非対称否定_サマリー,4,39,54.744,26.562,-51,52.0,56.0,70.0,80
非対称否定_サマリー,5,39,51.897,23.552,-43,40.0,55.0,70.0,88
非対称否定_サマリー,6,39,33.564,37.86,-15,10.0,14.0,65.0,100
対称否定_サマリー,1,38,59.237,17.142,25,50.0,50.0,61.5,100
対称否定_サマリー,2,38,44.474,16.812,10,30.75,50.0,53.0,83
対称否定_サマリー,3,38,-2.053,12.401,-76,0.0,0.0,0.0,5
対称否定_サマリー,4,38,64.474,27.435,-45,60.0,70.0,79.25,100
対称否定_サマリー,5,38,51.868,21.033,-30,40.0,55.0,68.75,87
対称否定_サマリー,6,38,18.158,23.921,-15,10.0,10.5,15.0,100
非対称否定_オンライン,1,39,33.538,27.375,-37,19.0,35.0,50.0,80
非対称否定_オンライン,2,39,27.538,22.456,-32,10.0,27.0,45.5,69
非対称否定_オンライン,3,39,16.795,28.678,-20,0.0,0.0,22.5,90
非対称否定_オンライン,4,39,39.026,25.141,-10,20.5,35.0,62.0,80
非対称否定_オンライン,5,39,34.41,23.936,-13,15.0,30.0,59.0,80
非対称否定_オンライン,6,39,30.077,33.544,-10,1.5,10.0,53.0,100
対称否定_オンライン,1,32,59.156,18.872,10,50.0,62.5,70.25,97
対称否定_オンライン,2,32,28.062,23.434,-25,13.5,30.0,46.25,80
対称否定_オンライン,3,32,2.344,15.368,-10,0.0,0.0,0.0,86
対称否定_オンライン,4,32,58.375,23.598,10,45.75,60.0,75.0,95
対称否定_オンライン,5,32,41.281,25.755,0,21.5,40.0,60.0,95
対称否定_オンライン,6,32,12.219,15.11,-12,4.5,10.0,16.25,62
