CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
1,1,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,-0.392,-0.314,-0.465,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
1,1,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,0.584,0.6,0.595,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
1,1,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.832,0.886,0.818,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.906,-1,-0.426,-0.6,0.557,0.371,-0.329,-0.314,-0.839,-0.886,-0.773,-0.829
1,1,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,0.837,0.943,0.848,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.985,-0.943,-0.59,-0.543,0.816,0.429,-0.004,-0.257,-0.966,-0.829,-0.944,-0.886
1,1,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,-0.29,-0.232,-0.25,-0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
1,1,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,0.724,0.886,0.711,0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
1,1,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.204,0.429,0.141,0.257,0.64,0.878,0.323,0.5,0.64,0.878,-0.315,-0.086,-0.42,-0.429,-0.09,-0.086,0.198,0.086,-0.125,0.257,-0.124,0.086
1,1,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,0.789,0.943,0.802,1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.988,-0.943,-0.612,-0.771,0.869,0.429,-0.415,-0.257,-0.972,-0.829,-0.968,-0.886
0.9,0.9,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,-0.337,-0.143,-0.486,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.9,0.9,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,0.505,0.371,0.626,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.9,0.9,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.787,0.771,0.835,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.849,-0.943,0.883,0.943,0.628,0.371,-0.659,-0.714,-0.808,-0.886,-0.763,-0.829
0.9,0.9,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,0.782,0.829,0.872,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.975,-0.886,0.974,1,0.853,0.429,-0.876,-0.771,-0.958,-0.829,-0.94,-0.886
0.9,0.9,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,-0.237,-0.116,-0.278,-0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.9,0.9,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,0.662,0.771,0.742,0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.9,0.9,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.173,0.314,0.152,0.257,0.64,0.878,0.323,0.5,0.64,0.878,-0.209,-0.029,0.209,0.086,0.033,-0.029,-0.18,-0.257,-0.102,0.257,-0.095,0.086
0.9,0.9,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,0.728,0.829,0.828,1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.987,-0.886,0.963,0.943,0.906,0.486,-0.921,-0.6,-0.971,-0.829,-0.965,-0.886
0.8,0.8,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,-0.214,0.029,-0.507,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.8,0.8,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,0.366,0.257,0.653,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.8,0.8,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.715,0.657,0.838,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.824,-0.886,0.863,0.943,0.617,0.371,-0.454,-0.429,-0.793,-0.886,-0.762,-0.829
0.8,0.8,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,0.674,0.714,0.884,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.967,-0.829,0.936,0.886,0.835,0.429,-0.727,-0.486,-0.953,-0.829,-0.94,-0.886
0.8,0.8,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,-0.177,-0.116,-0.283,-0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.8,0.8,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,0.556,0.6,0.757,0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.8,0.8,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.165,0.429,0.149,0.257,0.64,0.878,0.323,0.5,0.64,0.878,-0.164,-0.029,0.082,-0.2,0.054,-0.086,0.114,0.029,-0.094,0.257,-0.081,0.086
0.8,0.8,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,0.61,0.714,0.848,1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.983,-0.886,0.908,0.886,0.885,0.429,-0.814,-0.486,-0.97,-0.829,-0.965,-0.886
0.7,0.7,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,-0.012,0.143,-0.519,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.7,0.7,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,0.154,0.086,0.674,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.7,0.7,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.578,0.486,0.847,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.817,-0.886,0.841,0.886,0.496,0.371,-0.331,-0.429,-0.79,-0.886,-0.764,-0.829
0.7,0.7,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,0.484,0.543,0.901,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.965,-0.829,0.939,0.943,0.709,0.429,-0.641,-0.486,-0.951,-0.829,-0.941,-0.886
0.7,0.7,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,-0.089,0.145,-0.308,-0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.7,0.7,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,0.381,0.371,0.784,0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.7,0.7,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.156,0.257,0.156,0.257,0.64,0.878,0.323,0.5,0.64,0.878,-0.131,0.257,0.037,-0.029,0.068,-0.086,0.28,0.086,-0.075,0.257,-0.061,0.257
0.7,0.7,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,0.405,0.543,0.864,1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.98,-0.829,0.909,0.943,0.768,0.429,-0.665,-0.429,-0.966,-0.829,-0.962,-0.829
0.6,0.6,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.255,0.143,-0.532,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.6,0.6,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.131,0.086,0.708,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.6,0.6,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.357,0.486,0.851,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.817,-0.886,0.684,0.886,0.132,0.543,-0.38,-0.771,-0.789,-0.886,-0.766,-0.829
0.6,0.6,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,0.202,0.543,0.916,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.964,-0.829,0.899,0.943,0.113,0.6,-0.698,-0.714,-0.949,-0.829,-0.942,-0.886
0.6,0.6,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.028,0.145,-0.313,-0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.6,0.6,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,0.124,0.371,0.804,0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.6,0.6,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.144,0.257,0.165,0.257,0.64,0.878,0.323,0.5,0.64,0.878,-0.109,0.257,-0.129,-0.086,-0.006,0.086,0.352,-0.029,-0.065,0.257,-0.058,0.086
0.6,0.6,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,0.114,0.543,0.886,1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.975,-0.829,0.908,0.886,0.048,0.6,-0.731,-0.771,-0.964,-0.829,-0.963,-0.886
0.5,0.5,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.56,0.771,-0.537,-0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.5,0.5,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.45,-0.314,0.727,0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.5,0.5,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,0.051,-0.2,0.848,0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.814,-0.886,-0.53,-0.257,0.174,0.371,-0.287,-0.6,-0.786,-0.886,-0.757,-0.829
0.5,0.5,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.158,-0.086,0.928,1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.96,-0.829,-0.233,-0.314,0.022,0.429,-0.479,-0.543,-0.945,-0.829,-0.937,-0.886
