user_id,first_sample_number,second_sample_number,first_type,second_type,corr_predictive,corr_diagnostic,corr_diff,n_trials
mcll5n2tno4ajmj2cj.sss,6,2,predictive,intermediate,-0.9068481168131104,0.9670815710663799,-1.8739296878794902,6
mcll63uzmmcu60sol7,5,6,intermediate,predictive,-0.21521507763770265,0.09524188032377551,-0.31045695796147815,6
mcll6gl3azf90l1dyb.wee,3,5,predictive,intermediate,-0.323066786783519,0.16741922553963728,-0.4904860123231563,6
mcll6io834fgdcmx9b.eee,3,2,predictive,intermediate,0.6461335735670382,-0.3348384510792747,0.9809720246463128,6
mcll6pqayp5g03ajyy.lll,4,3,diagnostic,predictive,0.995112914131315,-0.9538808678981581,1.948993782029473,6
mcll74m49tz5dbzdvw.i,4,3,diagnostic,predictive,0.27882028768571665,-0.201529445796234,0.48034973348195065,6
mcll75x1khrd37rv6o.3ll,6,5,predictive,intermediate,-0.6414007235738461,0.451186492118137,-1.0925872156919831,6
mcll7g1wnjo34rftxf,6,2,predictive,intermediate,-0.8378550503180772,0.931055725608851,-1.768910775926928,6
mcll7k4xxus6re6pgl.sss,4,2,diagnostic,intermediate,-0.8382436144729544,0.6229853937116927,-1.461229008184647,6
mcll7l8t73kp42x45p,3,4,predictive,diagnostic,-0.047198444666725736,0.00634600936695473,-0.053544454033680466,6
mcll7ucumfq161wvm0.sss,4,1,diagnostic,diagnostic,-0.916480101397572,0.8462359096763873,-1.7627160110739593,6
mcll88l4qcxkx40mm3k.ee,2,3,intermediate,predictive,-0.894247895859945,0.7425127568250396,-1.6367606526849845,6
mcll9pp4h1gfdq6330.777,5,6,intermediate,predictive,0.49434340950269995,-0.4620389390622827,0.9563823485649827,6
mcllb27o8tzti74md4,3,2,predictive,intermediate,-0.6194861230407606,0.4956898193323707,-1.1151759423731313,6
mcllc2b6t7ytoskbnv,2,4,intermediate,diagnostic,-0.903942889113584,0.8598481140348726,-1.7637910031484565,6
mcllhtswk2ekv8wshn.eee,1,4,diagnostic,diagnostic,-0.05828351392553599,0.27552206582980626,-0.33380557975534225,6
mcllldkue64p2zj1l3.lll,4,5,diagnostic,intermediate,-0.9264212301218263,0.9629706167683022,-1.8893918468901285,6
mcllpd3f2mx4jqqwww.eee,2,4,intermediate,diagnostic,-0.6839133050022672,0.3669466139893488,-1.0508599189916161,6
mclm40c7io87bchvzx.p77,1,3,diagnostic,predictive,-0.8537892522100793,0.6890203673799742,-1.5428096195900536,6
mclna1mkyreqtne4lm.wee,5,1,intermediate,diagnostic,0.11134365399963816,-0.051792804541181875,0.16313645854082004,6
mclna9vjc53rjf7meg.3ll,2,1,intermediate,diagnostic,-0.696517625368366,0.6139101595610256,-1.3104277849293915,6
mclnal6x0y53btq18j.777,1,2,diagnostic,intermediate,-0.6536562600510417,0.7373757810428009,-1.3910320410938426,6
mclnantzqx2h8rjgam.sss,2,3,intermediate,predictive,-0.6541102037481026,0.48202656112499553,-1.1361367648730982,6
mclnaufv4act0uxzyz,3,5,predictive,intermediate,-0.24864476821781123,0.0863079131304875,-0.3349526813482987,6
mclnb237j2i7wnbmbs3,1,2,diagnostic,intermediate,0.01348526990477894,0.1830427076781001,-0.16955743777332116,6
mclnbjfii8q61r4pur.ass,4,6,diagnostic,predictive,-0.8904759655686808,0.9853231342215186,-1.8757990997901994,6
mclnbmojqk41p0tn2l,4,3,diagnostic,predictive,-0.5525816760854017,0.365913722377573,-0.9184953984629747,6
mclnboj993uko4i8wg.wee,5,2,intermediate,intermediate,-0.2629159122689161,0.3348718461530404,-0.5977877584219564,6
mclnc5k13y5h6xb29t.ass,4,6,diagnostic,predictive,0.9327223634754467,-0.8541421240251288,1.7868644875005755,6
mclndafuqa7pm5xn1i.wee,6,5,predictive,intermediate,-0.3489704554889542,0.27243332226255446,-0.6214037777515087,6
mclnhac133co78a5yp,5,2,intermediate,intermediate,-0.41326565798669884,0.21653929649249232,-0.6298049544791912,6
mclnj85zbia36mnrok.777,4,6,diagnostic,predictive,-0.8493105133833247,0.6604758738057004,-1.5097863871890251,6
mclnrvzltrywxh6ry2.p77,2,6,intermediate,predictive,-0.9379984327210525,0.7589318814710653,-1.6969303141921177,6
mclnvqr5bhj8trxh7b.sss,2,5,intermediate,intermediate,0.9003373541576496,-0.9412617793466337,1.8415991335042832,6
mclnxg12nslkx6s7x2.ass,6,1,predictive,diagnostic,0.2960954984261416,-0.18626875516544572,0.4823642535915873,6
mclpy1vlpdfd13mxzw.sss,6,1,predictive,diagnostic,-0.593026719623019,0.6835077796586859,-1.276534499281705,6
mcltqyjvrajhhop1ht.777,6,5,predictive,intermediate,-0.9670255182110137,0.8104497011132086,-1.7774752193242223,6
