condition_tag,case_label,experiment,condition,user_id,cluster,k,silhouette,silhouette_grid
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll5n2tno4ajmj2cj.sss,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll63uzmmcu60sol7,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll6gl3azf90l1dyb.wee,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll6io834fgdcmx9b.eee,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll6pqayp5g03ajyy.lll,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll74m49tz5dbzdvw.i,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll75x1khrd37rv6o.3ll,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll7g1wnjo34rftxf,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll7k4xxus6re6pgl.sss,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll7l8t73kp42x45p,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll7ucumfq161wvm0.sss,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll88l4qcxkx40mm3k.ee,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcll9pp4h1gfdq6330.777,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcllb27o8tzti74md4,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcllc2b6t7ytoskbnv,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcllhtswk2ekv8wshn.eee,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcllldkue64p2zj1l3.lll,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcllpd3f2mx4jqqwww.eee,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclm40c7io87bchvzx.p77,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclna1mkyreqtne4lm.wee,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclna9vjc53rjf7meg.3ll,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnal6x0y53btq18j.777,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnantzqx2h8rjgam.sss,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnaufv4act0uxzyz,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnb237j2i7wnbmbs3,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnbjfii8q61r4pur.ass,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnbmojqk41p0tn2l,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnboj993uko4i8wg.wee,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnc5k13y5h6xb29t.ass,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclndafuqa7pm5xn1i.wee,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnhac133co78a5yp,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnj85zbia36mnrok.777,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnrvzltrywxh6ry2.p77,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnvqr5bhj8trxh7b.sss,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclnxg12nslkx6s7x2.ass,0,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mclpy1vlpdfd13mxzw.sss,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,mcltqyjvrajhhop1ht.777,1,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))"
Symmetric_Online,Cond1_ex2,Online,Symmetric,mcll4bmhw0znkuzj99.sss,2,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))"
Symmetric_Online,Cond1_ex2,Online,Symmetric,mcll50bcy1zv872u86.lll,3,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))"
Symmetric_Online,Cond1_ex2,Online,Symmetric,mcll52ujpq0yf77ww4,1,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))"
Symmetric_Online,Cond1_ex2,Online,Symmetric,mcll5aimswpxusnyiu.lll,2,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))"
