condition,experiment,threshold,cluster,metric,phase1_correlation,phase2_correlation,phase1_n_participants,phase2_n_participants,phase1_n_samples,phase2_n_samples,phase1_fisher_z,phase2_fisher_z,z_statistic,p_value,significant,correlation_difference
非対称否定_サマリー,ex1,1.0,Cluster2,CS,0.7262758068741046,-0.9492125281842119,222,12,6,6,0.9208003246423792,-1.8237655159627943,3.361392937477732,0.0007755041467729651,True,1.6754883350583165
非対称否定_サマリー,ex1,1.0,Cluster2,UCS,0.7713702720036738,-0.9744703961385088,222,12,6,6,1.0237024521981752,-2.174108386488647,3.916502424362121,8.984291274871659e-05,True,1.7458406681421827
非対称否定_サマリー,ex1,1.0,Cluster1,CS,-0.29267558342994826,0.7453520978689748,12,222,6,6,-0.30149001040661033,0.9624148872567924,-1.5479610413399636,0.12163167658759044,False,1.038027681298923
非対称否定_サマリー,ex1,1.0,Cluster1,UCS,-0.3275799337754787,0.8007663020355422,12,222,6,6,-0.3401148606456648,1.1007445396555784,-1.7646851609153082,0.07761669388014614,False,1.128346235811021
非対称否定_サマリー,ex1,0.7,Cluster2,CS,0.37228976546700704,-0.6986327208145896,222,12,6,6,0.39107866764991106,-0.8646246035095415,1.5379161413421816,0.12406912009287563,False,1.0709224862815967
非対称否定_サマリー,ex1,0.7,Cluster2,UCS,0.7478379072024977,-0.9629271432092581,222,12,6,6,0.96803135768242,-1.984653499804341,3.616285636042516,0.00029886059020145517,True,1.7107650504117557
非対称否定_サマリー,ex1,0.7,Cluster1,CS,-0.07976942885067662,0.3703224524366488,12,222,6,6,-0.07993927303164944,0.3887967493890486,-0.5740820394962428,0.5659122865714261,False,0.4500918812873254
非対称否定_サマリー,ex1,0.7,Cluster1,UCS,-0.30893333300563613,0.7740539898454539,12,222,6,6,-0.31936576838913494,1.0303632593776766,-1.653073704525758,0.09831586420983784,False,1.08298732285109
非対称否定_サマリー,ex1,0.5,Cluster2,CS,-0.18745413621943088,-0.08767919058336268,222,12,6,6,-0.18969727634561317,-0.08790491470431532,-0.12466967286701747,0.9007850675906313,False,0.0997749456360682
非対称否定_サマリー,ex1,0.5,Cluster2,UCS,0.7582225160023496,-0.938382882992647,222,12,6,6,0.9920204140299679,-1.7243348167725072,3.3268421378030473,0.0008783611796263635,True,1.6966053989949965
非対称否定_サマリー,ex1,0.5,Cluster1,CS,0.14461116823100545,-0.24158046820359194,12,222,6,6,0.1456320638461911,-0.24645185679730808,0.4802027709632324,0.6310832167033613,False,0.3861916364345974
非対称否定_サマリー,ex1,0.5,Cluster1,UCS,-0.3577475281331676,0.7647039329119192,12,222,6,6,-0.37430044580424354,1.0074468153841933,-1.6922878716999126,0.09059109916667007,False,1.1224514610450869
非対称否定_サマリー,ex1,0.2,Cluster2,CS,-0.6656633787660122,0.7427885275206361,222,12,6,6,-0.802915207652282,0.9566715573908728,-2.1550448662551207,0.031158323454341996,True,1.4084519062866483
非対称否定_サマリー,ex1,0.2,Cluster2,UCS,0.6880851372954274,-0.4533373677932213,222,12,6,6,0.8443099180226085,-0.4888929858311386,1.6328334190192504,0.1025040363692149,False,1.1414225050886486
非対称否定_サマリー,ex1,0.2,Cluster1,CS,0.2418590631853699,-0.7780982389959048,12,222,6,6,0.24674773976310607,-1.040532450571696,1.5765898111565375,0.11488993868507635,False,1.0199573021812747
非対称否定_サマリー,ex1,0.2,Cluster1,UCS,-0.5436982634099901,0.5312490817725495,12,222,6,6,-0.6093909962502011,0.5918837692330922,-1.4712551081577974,0.1412221388378263,False,1.0749473451825395
非対称否定_サマリー,ex1,0.1,Cluster2,CS,-0.6240514133577872,0.7829750748514469,222,12,6,6,-0.7316133911526442,1.0530132145268254,-2.18571228265491,0.028836661709812583,True,1.407026488209234
非対称否定_サマリー,ex1,0.1,Cluster2,UCS,0.5277300066127608,-0.2126062300985496,222,12,6,6,0.5869937074689753,-0.21589938259447544,0.9833391943309565,0.3254405260083417,False,0.7403362367113104
非対称否定_サマリー,ex1,0.1,Cluster1,CS,0.18037893490977133,-0.7487625763812202,12,222,6,6,0.18237433974063805,-0.9701326573612149,1.4115270339434154,0.15808927013770546,False,0.9291415112909915
非対称否定_サマリー,ex1,0.1,Cluster1,UCS,-0.5041854072271535,0.3659942779226123,12,222,6,6,-0.5549023605223946,0.38378993571876746,-1.1496585756361575,0.2502845222012915,False,0.8701796851497658
対称否定_サマリー,ex1,1.0,Cluster2,CS,0.33129098844142757,-0.21892172569217186,36,12,6,6,0.344277706609425,-0.222523273757532,0.6941865938041554,0.487565198852955,False,0.5502127141335994
対称否定_サマリー,ex1,1.0,Cluster2,UCS,0.33531394547046206,-0.2759255675342877,36,12,6,6,0.3488034388016516,-0.2832664675877231,0.7741243762113484,0.4388572436104734,False,0.6112395130047498
対称否定_サマリー,ex1,1.0,Cluster1,CS,0.7837406734833011,0.9181532114307742,156,216,6,6,1.0549948334468295,1.5771345327986812,-0.6394879189311266,0.5225055703940849,False,0.1344125379474731
対称否定_サマリー,ex1,1.0,Cluster1,UCS,0.843703002339594,0.9118351417628268,156,216,6,6,1.2338866505451973,1.5383052080171509,-0.3728350670202008,0.7092712018585337,False,0.06813213942323271
対称否定_サマリー,ex1,0.7,Cluster2,CS,0.24771358045475558,-0.21362424949291506,36,12,6,6,0.2529754456296961,-0.2169658385054783,0.5755581775997324,0.5649138565419121,False,0.46133782994767064
対称否定_サマリー,ex1,0.7,Cluster2,UCS,0.3369511702177939,-0.23335219229741955,36,12,6,6,0.35064920865640314,-0.23773179330074473,0.7206166145712614,0.4711454286995427,False,0.5703033625152134
対称否定_サマリー,ex1,0.7,Cluster1,CS,0.40043271722544893,0.8104465988120547,156,216,6,6,0.4241641759626841,1.1283290241057666,-0.8624222863774774,0.3884551809678236,False,0.4100138815866058
対称否定_サマリー,ex1,0.7,Cluster1,UCS,0.8166295085596152,0.9227112314188534,156,216,6,6,1.1466147475853616,1.6069714600497136,-0.5638195226014074,0.5728769640837701,False,0.10608172285923811
