condition,phase,threshold,experiment,cluster,n,CRT_mean,estimate_mean,P(E|C)_corr,P(C|E)_corr,ΔP_corr,CS_corr,UCS_corr,pARIs_corr,DFH_corr,Dice_corr
非対称否定_サマリー,Phase1,1.0,ex1,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.293,-0.335,-0.495,-0.101,-0.495
非対称否定_サマリー,Phase1,1.0,ex1,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.722,0.775,0.442,0.059,0.442
非対称否定_サマリー,Phase1,0.7,ex1,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,-0.085,-0.312,-0.495,-0.101,-0.495
非対称否定_サマリー,Phase1,0.7,ex1,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,0.377,0.755,0.442,0.059,0.442
非対称否定_サマリー,Phase1,0.5,ex1,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.146,-0.358,-0.495,-0.101,-0.495
非対称否定_サマリー,Phase1,0.5,ex1,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.179,0.761,0.442,0.059,0.442
非対称否定_サマリー,Phase1,0.2,ex1,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.241,-0.534,-0.495,-0.101,-0.495
非対称否定_サマリー,Phase1,0.2,ex1,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.666,0.663,0.442,0.059,0.442
非対称否定_サマリー,Phase1,0.1,ex1,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.184,-0.5,-0.495,-0.101,-0.495
非対称否定_サマリー,Phase1,0.1,ex1,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.627,0.528,0.442,0.059,0.442
非対称否定_サマリー,Phase2,1.0,ex1,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.744,0.802,0.273,-0.056,0.273
非対称否定_サマリー,Phase2,1.0,ex1,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.949,-0.975,-0.073,-0.134,-0.073
非対称否定_サマリー,Phase2,0.7,ex1,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.371,0.777,0.273,-0.056,0.273
非対称否定_サマリー,Phase2,0.7,ex1,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.7,-0.965,-0.073,-0.134,-0.073
非対称否定_サマリー,Phase2,0.5,ex1,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.25,0.759,0.273,-0.056,0.273
非対称否定_サマリー,Phase2,0.5,ex1,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.081,-0.938,-0.073,-0.134,-0.073
非対称否定_サマリー,Phase2,0.2,ex1,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.772,0.55,0.273,-0.056,0.273
非対称否定_サマリー,Phase2,0.2,ex1,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.74,-0.451,-0.073,-0.134,-0.073
非対称否定_サマリー,Phase2,0.1,ex1,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.75,0.371,0.273,-0.056,0.273
非対称否定_サマリー,Phase2,0.1,ex1,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.783,-0.216,-0.073,-0.134,-0.073
対称否定_サマリー,Phase1,1.0,ex1,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.784,0.843,0.147,-0.105,0.147
対称否定_サマリー,Phase1,1.0,ex1,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.331,0.342,0.655,0.352,0.655
対称否定_サマリー,Phase1,0.7,ex1,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,0.392,0.818,0.147,-0.105,0.147
対称否定_サマリー,Phase1,0.7,ex1,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.245,0.338,0.655,0.352,0.655
対称否定_サマリー,Phase1,0.5,ex1,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.246,0.789,0.147,-0.105,0.147
対称否定_サマリー,Phase1,0.5,ex1,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.144,0.393,0.655,0.352,0.655
対称否定_サマリー,Phase1,0.2,ex1,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.855,0.455,0.147,-0.105,0.147
対称否定_サマリー,Phase1,0.2,ex1,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,-0.008,0.697,0.655,0.352,0.655
対称否定_サマリー,Phase1,0.1,ex1,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.844,0.261,0.147,-0.105,0.147
対称否定_サマリー,Phase1,0.1,ex1,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.025,0.68,0.655,0.352,0.655
対称否定_サマリー,Phase2,1.0,ex1,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.918,0.907,0.251,-0.02,0.251
対称否定_サマリー,Phase2,1.0,ex1,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.23,-0.277,-0.338,-0.673,-0.338
対称否定_サマリー,Phase2,0.7,ex1,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.812,0.921,0.251,-0.02,0.251
対称否定_サマリー,Phase2,0.7,ex1,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.22,-0.235,-0.338,-0.673,-0.338
対称否定_サマリー,Phase2,0.5,ex1,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.636,0.921,0.251,-0.02,0.251
対称否定_サマリー,Phase2,0.5,ex1,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.144,-0.133,-0.338,-0.673,-0.338
対称否定_サマリー,Phase2,0.2,ex1,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.399,0.779,0.251,-0.02,0.251
対称否定_サマリー,Phase2,0.2,ex1,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.127,0.108,-0.338,-0.673,-0.338
対称否定_サマリー,Phase2,0.1,ex1,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.438,0.746,0.251,-0.02,0.251
対称否定_サマリー,Phase2,0.1,ex1,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.172,0.138,-0.338,-0.673,-0.338
非対称否定_オンライン,Phase1,1.0,ex2,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.39,-0.473,0.548,0.612,0.548
非対称否定_オンライン,Phase1,1.0,ex2,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.618,0.686,0.164,-0.264,0.164
非対称否定_オンライン,Phase1,0.7,ex2,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,-0.003,-0.432,0.548,0.612,0.548
非対称否定_オンライン,Phase1,0.7,ex2,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,0.191,0.653,0.164,-0.264,0.164
非対称否定_オンライン,Phase1,0.5,ex2,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.565,-0.347,0.548,0.612,0.548
非対称否定_オンライン,Phase1,0.5,ex2,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.429,0.63,0.164,-0.264,0.164
非対称否定_オンライン,Phase1,0.2,ex2,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.944,0.313,0.548,0.612,0.548
非対称否定_オンライン,Phase1,0.2,ex2,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.845,0.374,0.164,-0.264,0.164
非対称否定_オンライン,Phase1,0.1,ex2,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.951,0.488,0.548,0.612,0.548
非対称否定_オンライン,Phase1,0.1,ex2,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.8,0.226,0.164,-0.264,0.164
非対称否定_オンライン,Phase2,1.0,ex2,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,-0.03,-0.08,0.665,0.622,0.665
非対称否定_オンライン,Phase2,1.0,ex2,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.792,0.84,0.268,-0.001,0.268
非対称否定_オンライン,Phase2,0.7,ex2,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.212,-0.049,0.665,0.622,0.665
非対称否定_オンライン,Phase2,0.7,ex2,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.423,0.817,0.268,-0.001,0.268
非対称否定_オンライン,Phase2,0.5,ex2,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.515,0.042,0.665,0.622,0.665
非対称否定_オンライン,Phase2,0.5,ex2,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.187,0.803,0.268,-0.001,0.268
非対称否定_オンライン,Phase2,0.2,ex2,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.622,0.535,0.665,0.622,0.665
非対称否定_オンライン,Phase2,0.2,ex2,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.779,0.559,0.268,-0.001,0.268
非対称否定_オンライン,Phase2,0.1,ex2,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.624,0.625,0.665,0.622,0.665
非対称否定_オンライン,Phase2,0.1,ex2,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.761,0.385,0.268,-0.001,0.268
対称否定_オンライン,Phase1,1.0,ex2,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.829,0.866,0.285,0.186,0.285
対称否定_オンライン,Phase1,1.0,ex2,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.834,0.888,0.174,-0.014,0.174
対称否定_オンライン,Phase1,0.7,ex2,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.571,0.855,0.285,0.186,0.285
対称否定_オンライン,Phase1,0.7,ex2,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,0.477,0.866,0.174,-0.014,0.174
対称否定_オンライン,Phase1,0.5,ex2,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,0.039,0.853,0.285,0.186,0.285
対称否定_オンライン,Phase1,0.5,ex2,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.172,0.844,0.174,-0.014,0.174
対称否定_オンライン,Phase1,0.2,ex2,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.617,0.587,0.285,0.186,0.285
対称否定_オンライン,Phase1,0.2,ex2,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.819,0.502,0.174,-0.014,0.174
対称否定_オンライン,Phase1,0.1,ex2,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.629,0.396,0.285,0.186,0.285
対称否定_オンライン,Phase1,0.1,ex2,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.815,0.285,0.174,-0.014,0.174
対称否定_オンライン,Phase2,1.0,ex2,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.783,-0.824,-0.412,-0.088,-0.412
対称否定_オンライン,Phase2,1.0,ex2,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.886,0.926,0.179,0.089,0.179
対称否定_オンライン,Phase2,0.7,ex2,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.446,-0.802,-0.412,-0.088,-0.412
対称否定_オンライン,Phase2,0.7,ex2,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.571,0.907,0.179,0.089,0.179
対称否定_オンライン,Phase2,0.5,ex2,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.115,-0.805,-0.412,-0.088,-0.412
対称否定_オンライン,Phase2,0.5,ex2,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.037,0.889,0.179,0.089,0.179
対称否定_オンライン,Phase2,0.2,ex2,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.672,-0.665,-0.412,-0.088,-0.412
対称否定_オンライン,Phase2,0.2,ex2,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.765,0.517,0.179,0.089,0.179
対称否定_オンライン,Phase2,0.1,ex2,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.651,-0.509,-0.412,-0.088,-0.412
対称否定_オンライン,Phase2,0.1,ex2,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.781,0.306,0.179,0.089,0.179
