sample_number,mean_estimate,std_estimate,count,condition
1,52.737,32.594,38,対称否定_オンライン
2,31.605,25.226,38,対称否定_オンライン
3,0.974,8.371,38,対称否定_オンライン
4,52.605,31.388,38,対称否定_オンライン
5,37.737,23.719,38,対称否定_オンライン
6,20.368,34.299,38,対称否定_オンライン
1,65.219,20.106,32,対称否定_サマリー
2,46.656,19.355,32,対称否定_サマリー
3,0.0,0.0,32,対称否定_サマリー
4,69.719,18.17,32,対称否定_サマリー
5,57.812,16.271,32,対称否定_サマリー
6,20.25,29.353,32,対称否定_サマリー
1,37.615,25.444,39,非対称否定_オンライン
2,41.487,25.61,39,非対称否定_オンライン
3,15.744,34.653,39,非対称否定_オンライン
4,45.0,25.557,39,非対称否定_オンライン
5,40.359,28.415,39,非対称否定_オンライン
6,28.564,34.333,39,非対称否定_オンライン
1,55.256,23.167,39,非対称否定_サマリー
2,43.051,20.164,39,非対称否定_サマリー
3,7.179,24.171,39,非対称否定_サマリー
4,66.231,16.858,39,非対称否定_サマリー
5,61.256,18.961,39,非対称否定_サマリー
6,30.769,33.899,39,非対称否定_サマリー
