CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice,SS_Support,Uniform_Support,Chi2_Support
1.0,1.0,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,-0.02,-0.089,0.665,0.622,0.665,-0.047,-0.025,-0.081
1.0,1.0,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.787,0.841,0.268,-0.001,0.268,0.727,0.788,0.849
1.0,1.0,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.78,-0.824,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
1.0,1.0,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.886,0.929,0.179,0.089,0.179,0.838,0.888,0.937
1.0,1.0,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.746,0.803,0.273,-0.056,0.273,0.672,0.745,0.815
1.0,1.0,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.951,-0.976,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
1.0,1.0,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.922,0.913,0.251,-0.02,0.251,0.818,0.919,0.863
1.0,1.0,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.21,-0.278,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.9,0.9,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,-0.004,-0.08,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.9,0.9,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.73,0.84,0.268,-0.001,0.268,0.727,0.788,0.849
0.9,0.9,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.724,-0.822,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.9,0.9,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.841,0.926,0.179,0.089,0.179,0.838,0.888,0.937
0.9,0.9,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.68,0.797,0.273,-0.056,0.273,0.672,0.745,0.815
0.9,0.9,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.922,-0.973,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.9,0.9,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.902,0.92,0.251,-0.02,0.251,0.818,0.919,0.863
0.9,0.9,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.222,-0.258,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.8,0.8,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.08,-0.081,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.8,0.8,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.617,0.825,0.268,-0.001,0.268,0.727,0.788,0.849
0.8,0.8,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.624,-0.814,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.8,0.8,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.752,0.92,0.179,0.089,0.179,0.838,0.888,0.937
0.8,0.8,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.564,0.791,0.273,-0.056,0.273,0.672,0.745,0.815
0.8,0.8,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.849,-0.971,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.8,0.8,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.868,0.924,0.251,-0.02,0.251,0.818,0.919,0.863
0.8,0.8,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.226,-0.247,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.7,0.7,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.205,-0.046,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.7,0.7,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.424,0.815,0.268,-0.001,0.268,0.727,0.788,0.849
0.7,0.7,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.446,-0.803,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.7,0.7,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.578,0.911,0.179,0.089,0.179,0.838,0.888,0.937
0.7,0.7,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.376,0.771,0.273,-0.056,0.273,0.672,0.745,0.815
0.7,0.7,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.706,-0.963,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.7,0.7,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.807,0.922,0.251,-0.02,0.251,0.818,0.919,0.863
0.7,0.7,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.214,-0.237,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.6,0.6,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.374,-0.022,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.6,0.6,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,0.147,0.804,0.268,-0.001,0.268,0.727,0.788,0.849
0.6,0.6,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,-0.197,-0.799,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.6,0.6,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,0.31,0.902,0.179,0.089,0.179,0.838,0.888,0.937
0.6,0.6,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.103,0.767,0.273,-0.056,0.273,0.672,0.745,0.815
0.6,0.6,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.457,-0.954,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.6,0.6,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.733,0.924,0.251,-0.02,0.251,0.818,0.919,0.863
0.6,0.6,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.198,-0.194,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.5,0.5,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.525,0.049,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.5,0.5,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.2,0.801,0.268,-0.001,0.268,0.727,0.788,0.849
0.5,0.5,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.11,-0.806,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.5,0.5,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.033,0.891,0.179,0.089,0.179,0.838,0.888,0.937
0.5,0.5,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.233,0.766,0.273,-0.056,0.273,0.672,0.745,0.815
