threshold,metric,avg_correlation,abs_avg_correlation,n_valid
0.01,SS_Support,0.11674999999999999,0.647,8
0.01,Uniform_Support,0.171,0.664,8
0.01,Chi2_Support,0.15300000000000002,0.713,8
0.01,CS,0.10300000000000001,0.54125,8
0.01,UCS,0.224875,0.348125,8
0.01,ΔP,0.239625,0.746125,8
0.1,SS_Support,0.11674999999999999,0.647,8
0.1,Uniform_Support,0.171,0.664,8
0.1,Chi2_Support,0.15300000000000002,0.713,8
0.1,CS,0.047625,0.617375,8
0.1,UCS,0.23075,0.4045,8
0.1,ΔP,0.239625,0.746125,8
0.2,SS_Support,0.11674999999999999,0.647,8
0.2,Uniform_Support,0.171,0.664,8
0.2,Chi2_Support,0.15300000000000002,0.713,8
0.2,CS,0.03,0.609,8
0.2,UCS,0.23912500000000003,0.511375,8
0.2,ΔP,0.239625,0.746125,8
0.3,SS_Support,0.11674999999999999,0.647,8
0.3,Uniform_Support,0.171,0.664,8
0.3,Chi2_Support,0.15300000000000002,0.713,8
0.3,CS,0.030625,0.553375,8
0.3,UCS,0.235375,0.618125,8
0.3,ΔP,0.239625,0.746125,8
0.4,SS_Support,0.11674999999999999,0.647,8
0.4,Uniform_Support,0.171,0.664,8
0.4,Chi2_Support,0.15300000000000002,0.713,8
0.4,CS,0.043,0.42850000000000005,8
0.4,UCS,0.21425,0.6535,8
0.4,ΔP,0.239625,0.746125,8
0.5,SS_Support,0.11674999999999999,0.647,8
0.5,Uniform_Support,0.171,0.664,8
0.5,Chi2_Support,0.15300000000000002,0.713,8
0.5,CS,0.07075000000000001,0.24575000000000002,8
0.5,UCS,0.19475000000000003,0.6619999999999999,8
0.5,ΔP,0.239625,0.746125,8
0.6,SS_Support,0.11674999999999999,0.647,8
0.6,Uniform_Support,0.171,0.664,8
0.6,Chi2_Support,0.15300000000000002,0.713,8
0.6,CS,0.101875,0.314875,8
0.6,UCS,0.1785,0.6707500000000001,8
0.6,ΔP,0.239625,0.746125,8
0.7,SS_Support,0.11674999999999999,0.647,8
0.7,Uniform_Support,0.171,0.664,8
0.7,Chi2_Support,0.15300000000000002,0.713,8
0.7,CS,0.128,0.4695,8
0.7,UCS,0.17125,0.6835,8
0.7,ΔP,0.239625,0.746125,8
0.8,SS_Support,0.11674999999999999,0.647,8
0.8,Uniform_Support,0.171,0.664,8
0.8,Chi2_Support,0.15300000000000002,0.713,8
0.8,CS,0.14775,0.5725,8
0.8,UCS,0.16837500000000002,0.6966249999999999,8
0.8,ΔP,0.239625,0.746125,8
0.9,SS_Support,0.11674999999999999,0.647,8
0.9,Uniform_Support,0.171,0.664,8
0.9,Chi2_Support,0.15300000000000002,0.713,8
0.9,CS,0.16012500000000002,0.628125,8
0.9,UCS,0.16875,0.702,8
0.9,ΔP,0.239625,0.746125,8
1.0,SS_Support,0.11674999999999999,0.647,8
1.0,Uniform_Support,0.171,0.664,8
1.0,Chi2_Support,0.15300000000000002,0.713,8
1.0,CS,0.17250000000000001,0.66275,8
1.0,UCS,0.16487500000000002,0.706625,8
1.0,ΔP,0.239625,0.746125,8
