cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
1,1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,-0.161,-0.105,-0.203,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
1,1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,0.311,0.398,0.348,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
1,1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.669,-0.692,-0.354,-0.372,0.205,0.206,0.133,0.134,0.205,0.206,-0.669,-0.692,-0.354,-0.372,0.422,0.222,-0.291,-0.328,-0.623,-0.563,-0.627,-0.563
1,1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.516,-0.633,-0.226,-0.227,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.516,-0.633,-0.226,-0.227,0.44,0.347,-0.032,-0.192,-0.508,-0.548,-0.508,-0.548
1,1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.09,0.277,0.068,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
1,1,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,0.634,0.694,0.678,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
1,1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.894,-0.831,-0.026,0.015,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.894,-0.831,-0.026,0.015,0.788,0.498,-0.538,-0.498,-0.877,-0.741,-0.875,-0.741
1,1,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,-0.286,-0.315,0.169,0.093,0.471,0.495,0.242,0.192,0.471,0.495,-0.286,-0.315,0.169,0.093,0.012,0.113,0.296,-0.113,-0.158,-0.079,-0.146,-0.079
0.9,0.9,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,-0.132,-0.043,-0.206,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.9,0.9,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,0.267,0.249,0.354,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.9,0.9,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.63,-0.673,0.652,0.673,0.205,0.206,0.133,0.134,0.205,0.206,-0.63,-0.673,0.652,0.673,0.474,0.222,-0.276,-0.114,-0.602,-0.563,-0.611,-0.563
0.9,0.9,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.514,-0.611,0.481,0.611,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.514,-0.611,0.481,0.611,0.458,0.347,-0.027,-0.07,-0.507,-0.548,-0.505,-0.548
0.9,0.9,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.076,0.206,0.068,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.9,0.9,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,0.584,0.57,0.686,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.9,0.9,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.893,-0.831,0.827,0.831,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.893,-0.831,0.827,0.831,0.816,0.498,-0.122,0.015,-0.88,-0.741,-0.874,-0.741
0.9,0.9,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,-0.218,-0.315,0.216,0.315,0.471,0.495,0.242,0.192,0.471,0.495,-0.218,-0.315,0.216,0.315,0.093,0.113,-0.645,-0.534,-0.149,-0.079,-0.134,-0.079
0.8,0.8,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,-0.077,0.045,-0.214,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.8,0.8,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,0.192,0.175,0.364,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.8,0.8,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.615,-0.673,0.638,0.673,0.205,0.206,0.133,0.134,0.205,0.206,-0.615,-0.673,0.638,0.673,0.464,0.222,-0.242,-0.114,-0.593,-0.563,-0.604,-0.563
0.8,0.8,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.511,-0.611,0.464,0.611,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.511,-0.611,0.464,0.611,0.45,0.347,-0.003,-0.07,-0.505,-0.548,-0.504,-0.548
0.8,0.8,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.079,0.28,0.071,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
