cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
1.0,1.0,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,-0.162,-0.105,-0.2,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
1.0,1.0,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,0.31,0.398,0.347,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
1.0,1.0,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,0.615,0.675,0.636,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.67,-0.673,0.303,0.065,0.425,0.242,0.381,0.347,-0.625,-0.563,-0.611,-0.563
1.0,1.0,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,0.429,0.583,0.456,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.514,-0.611,0.157,-0.022,0.442,0.369,0.106,0.184,-0.508,-0.548,-0.505,-0.548
1.0,1.0,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.089,0.277,0.067,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
1.0,1.0,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,0.633,0.694,0.677,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
1.0,1.0,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,0.709,0.754,0.761,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.893,-0.792,0.328,0.217,0.789,0.537,0.172,0.241,-0.879,-0.741,-0.876,-0.741
1.0,1.0,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.227,0.436,0.214,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.285,-0.291,0.107,-0.07,0.013,0.137,0.653,0.555,-0.164,-0.079,-0.148,-0.079
0.9,0.9,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,-0.135,-0.043,-0.208,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.9,0.9,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,0.267,0.249,0.356,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.9,0.9,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,0.583,0.557,0.64,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.63,-0.673,0.681,0.683,0.475,0.242,-0.35,-0.094,-0.602,-0.563,-0.611,-0.563
0.9,0.9,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,0.399,0.465,0.461,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.513,-0.611,0.491,0.637,0.46,0.369,-0.091,-0.048,-0.507,-0.548,-0.506,-0.548
