user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp
mcll4bmhw0znkuzj99.sss,11,7,3,3,7,5,1,1,5,2025/7/2 15:39
mcll4bmhw0znkuzj99.sss,6,6,6,0,12,40,1,1,1,2025/7/2 15:40
mcll4bmhw0znkuzj99.sss,9,7,0,6,1,3,1,1,6,2025/7/2 15:41
mcll4bmhw0znkuzj99.sss,3,6,3,3,6,20,1,1,2,2025/7/2 15:42
mcll4bmhw0znkuzj99.sss,5,7,6,0,13,70,1,1,4,2025/7/2 15:43
mcll4bmhw0znkuzj99.sss,7,6,0,6,0,0,1,1,3,2025/7/2 15:43
mcll64y6b4oezqkjc9,4,7,0,6,1,70,1,1,6,2025/7/2 15:39
mcll64y6b4oezqkjc9,12,7,6,0,13,60,1,1,4,2025/7/2 15:41
mcll64y6b4oezqkjc9,11,6,0,6,0,25,1,1,3,2025/7/2 15:41
mcll64y6b4oezqkjc9,1,6,6,0,12,66,1,1,1,2025/7/2 15:42
mcll64y6b4oezqkjc9,2,6,3,3,6,38,1,1,2,2025/7/2 15:43
mcll64y6b4oezqkjc9,3,7,3,3,7,-35,1,1,5,2025/7/2 15:44
mcll5l2iepz2wdz81b,1,6,6,0,12,21,1,1,1,2025/7/2 15:40
mcll5l2iepz2wdz81b,9,7,0,6,1,-92,1,1,6,2025/7/2 15:41
mcll5l2iepz2wdz81b,5,7,6,0,13,15,1,1,4,2025/7/2 15:42
mcll5l2iepz2wdz81b,2,6,3,3,6,9,1,1,2,2025/7/2 15:43
mcll5l2iepz2wdz81b,8,6,0,6,0,0,1,1,3,2025/7/2 15:44
mcll5l2iepz2wdz81b,7,7,3,3,7,29,1,1,5,2025/7/2 15:45
mcll6dvwzwl1v1q0ti.777,2,6,6,0,12,80,1,0,1,2025/7/2 15:40
mcll6dvwzwl1v1q0ti.777,11,7,0,6,1,-73,1,0,6,2025/7/2 15:41
mcll6dvwzwl1v1q0ti.777,12,6,3,3,6,-42,1,0,2,2025/7/2 15:42
mcll6dvwzwl1v1q0ti.777,7,7,3,3,7,-35,1,0,5,2025/7/2 15:43
mcll6dvwzwl1v1q0ti.777,6,7,6,0,13,87,1,0,4,2025/7/2 15:44
mcll6dvwzwl1v1q0ti.777,10,6,0,6,0,73,1,0,3,2025/7/2 15:45
mcll50bcy1zv872u86.lll,9,7,0,6,1,40,1,1,6,2025/7/2 15:39
mcll50bcy1zv872u86.lll,6,6,3,3,6,30,1,1,2,2025/7/2 15:41
mcll50bcy1zv872u86.lll,11,6,0,6,0,0,1,1,3,2025/7/2 15:41
mcll50bcy1zv872u86.lll,10,7,3,3,7,40,1,1,5,2025/7/2 15:42
mcll50bcy1zv872u86.lll,4,7,6,0,13,20,1,1,4,2025/7/2 15:44
mcll50bcy1zv872u86.lll,7,6,6,0,12,20,1,1,1,2025/7/2 15:45
mcll52ujpq0yf77ww4,9,7,3,3,7,70,1,1,5,2025/7/2 15:40
mcll52ujpq0yf77ww4,8,7,0,6,1,13,1,1,6,2025/7/2 15:41
mcll52ujpq0yf77ww4,5,6,0,6,0,-5,1,1,3,2025/7/2 15:42
mcll52ujpq0yf77ww4,10,6,3,3,6,39,1,1,2,2025/7/2 15:43
mcll52ujpq0yf77ww4,11,6,6,0,12,76,1,1,1,2025/7/2 15:44
mcll52ujpq0yf77ww4,7,7,6,0,13,24,1,1,4,2025/7/2 15:45
mcll4ctj75ys035ren.wee,8,6,0,6,0,10,0,0,3,2025/7/2 15:40
mcll4ctj75ys035ren.wee,10,7,0,6,1,7,0,0,6,2025/7/2 15:41
mcll4ctj75ys035ren.wee,2,6,6,0,12,18,0,0,1,2025/7/2 15:42
mcll4ctj75ys035ren.wee,6,7,6,0,13,10,0,0,4,2025/7/2 15:43
mcll4ctj75ys035ren.wee,3,6,3,3,6,7,0,0,2,2025/7/2 15:44
mcll4ctj75ys035ren.wee,9,7,3,3,7,16,0,0,5,2025/7/2 15:45
mcll4qx9fuj8krv92g.wee,8,6,0,6,0,50,1,1,3,2025/7/2 15:39
mcll4qx9fuj8krv92g.wee,5,6,3,3,6,70,1,1,2,2025/7/2 15:40
mcll4qx9fuj8krv92g.wee,3,7,6,0,13,100,1,1,4,2025/7/2 15:41
mcll4qx9fuj8krv92g.wee,1,6,6,0,12,80,1,1,1,2025/7/2 15:43
mcll4qx9fuj8krv92g.wee,6,7,3,3,7,60,1,1,5,2025/7/2 15:44
mcll4qx9fuj8krv92g.wee,9,7,0,6,1,20,1,1,6,2025/7/2 15:45
mcll5aimswpxusnyiu.lll,10,7,6,0,13,50,1,1,4,2025/7/2 15:40
mcll5aimswpxusnyiu.lll,1,7,0,6,1,0,1,1,6,2025/7/2 15:42
mcll5aimswpxusnyiu.lll,9,7,3,3,7,20,1,1,5,2025/7/2 15:43
