user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp
mcll4p2b9leju4ephg.p77,2,7,3,3,7,85,1,0,5,2025/07/02 15:38:59
mcll4p2b9leju4ephg.p77,9,6,3,3,6,46,1,0,2,2025/07/02 15:39:15
mcll4p2b9leju4ephg.p77,12,7,6,0,13,56,1,0,4,2025/07/02 15:39:28
mcll4p2b9leju4ephg.p77,1,7,0,6,1,0,1,0,6,2025/07/02 15:39:41
mcll4p2b9leju4ephg.p77,7,6,6,0,12,51,1,0,1,2025/07/02 15:39:54
mcll4p2b9leju4ephg.p77,11,6,0,6,0,0,1,0,3,2025/07/02 15:40:09
mcll4ctj75ys035ren.wee,7,7,3,3,7,20,1,0,5,2025/07/02 15:38:44
mcll4ctj75ys035ren.wee,11,7,6,0,13,40,1,0,4,2025/07/02 15:39:03
mcll4ctj75ys035ren.wee,1,6,0,6,0,0,1,0,3,2025/07/02 15:39:32
mcll4ctj75ys035ren.wee,5,6,6,0,12,15,1,0,1,2025/07/02 15:39:43
mcll4ctj75ys035ren.wee,12,6,3,3,6,11,1,0,2,2025/07/02 15:39:54
mcll4ctj75ys035ren.wee,4,7,0,6,1,4,1,0,6,2025/07/02 15:40:09
mcll4rmr92dljfi9xm.p77,8,7,6,0,13,80,1,0,4,2025/07/02 15:38:52
mcll4rmr92dljfi9xm.p77,7,6,3,3,6,5,1,0,2,2025/07/02 15:39:27
mcll4rmr92dljfi9xm.p77,10,6,6,0,12,50,1,0,1,2025/07/02 15:39:42
mcll4rmr92dljfi9xm.p77,2,6,0,6,0,10,1,0,3,2025/07/02 15:40:07
mcll4rmr92dljfi9xm.p77,5,7,0,6,1,10,1,0,6,2025/07/02 15:40:27
mcll4rmr92dljfi9xm.p77,12,7,3,3,7,60,1,0,5,2025/07/02 15:40:46
mcll5m85olyfjj0k90,12,7,3,3,7,64,1,0,5,2025/07/02 15:39:26
mcll5m85olyfjj0k90,3,7,6,0,13,70,1,0,4,2025/07/02 15:39:44
mcll5m85olyfjj0k90,5,6,6,0,12,55,1,0,1,2025/07/02 15:40:02
mcll5m85olyfjj0k90,10,6,3,3,6,31,1,0,2,2025/07/02 15:40:14
mcll5m85olyfjj0k90,11,6,0,6,0,0,1,0,3,2025/07/02 15:40:37
mcll5m85olyfjj0k90,8,7,0,6,1,5,1,0,6,2025/07/02 15:40:48
mcll5335u98sk4zlq7,3,7,3,3,7,60,1,0,5,2025/07/02 15:39:26
mcll5335u98sk4zlq7,4,7,6,0,13,100,1,0,4,2025/07/02 15:39:53
mcll5335u98sk4zlq7,12,6,6,0,12,50,1,0,1,2025/07/02 15:40:17
mcll5335u98sk4zlq7,2,6,0,6,0,0,1,0,3,2025/07/02 15:40:37
mcll5335u98sk4zlq7,8,6,3,3,6,50,1,0,2,2025/07/02 15:40:51
mcll5335u98sk4zlq7,10,7,0,6,1,2,1,0,6,2025/07/02 15:41:14
mclkxfz3rgz1pibicz.sss,4,7,6,0,13,95,1,0,4,2025/07/02 15:34:16
mclkxfz3rgz1pibicz.sss,8,7,3,3,7,86,1,0,5,2025/07/02 15:34:35
mclkxfz3rgz1pibicz.sss,6,6,0,6,0,0,1,0,3,2025/07/02 15:34:57
mclkxfz3rgz1pibicz.sss,3,6,3,3,6,82,1,0,2,2025/07/02 15:35:18
mclkxfz3rgz1pibicz.sss,9,7,0,6,1,3,1,0,6,2025/07/02 15:35:35
mclkxfz3rgz1pibicz.sss,11,6,6,0,12,74,1,0,1,2025/07/02 15:35:49
mcll65gjnnb9ef7xfxz,5,7,6,0,13,16,1,1,4,2025/07/02 15:40:03
mcll65gjnnb9ef7xfxz,4,7,3,3,7,26,1,1,5,2025/07/02 15:40:25
mcll65gjnnb9ef7xfxz,3,6,0,6,0,0,1,1,3,2025/07/02 15:40:46
mcll65gjnnb9ef7xfxz,7,7,0,6,1,30,1,1,6,2025/07/02 15:41:07
mcll65gjnnb9ef7xfxz,12,6,3,3,6,16,1,1,2,2025/07/02 15:41:25
mcll65gjnnb9ef7xfxz,2,6,6,0,12,10,1,1,1,2025/07/02 15:41:45
mcll5d8gtm7gpvejzy.eee,3,7,3,3,7,70,1,0,5,2025/07/02 15:39:51
mcll5d8gtm7gpvejzy.eee,4,7,6,0,13,50,1,0,4,2025/07/02 15:40:20
mcll5d8gtm7gpvejzy.eee,8,7,0,6,1,80,1,0,6,2025/07/02 15:40:53
mcll5d8gtm7gpvejzy.eee,5,6,0,6,0,30,1,0,3,2025/07/02 15:41:24
mcll5d8gtm7gpvejzy.eee,6,6,6,0,12,32,1,0,1,2025/07/02 15:41:52
mcll5d8gtm7gpvejzy.eee,2,6,3,3,6,20,1,0,2,2025/07/02 15:42:14
mcll53kpea68dgzp2d.p77,3,6,3,3,6,61,1,0,2,2025/07/02 15:39:29
mcll53kpea68dgzp2d.p77,1,6,0,6,0,0,1,0,3,2025/07/02 15:40:04
mcll53kpea68dgzp2d.p77,5,7,0,6,1,83,1,0,6,2025/07/02 15:40:27
mcll53kpea68dgzp2d.p77,4,7,3,3,7,62,1,0,5,2025/07/02 15:40:54
mcll53kpea68dgzp2d.p77,9,7,6,0,13,39,1,0,4,2025/07/02 15:41:18
mcll53kpea68dgzp2d.p77,6,6,6,0,12,60,1,0,1,2025/07/02 15:41:46
mcll6o8fsheywxs2bg.ass,3,7,6,0,13,85,1,1,4,2025/07/02 15:40:44
mcll6o8fsheywxs2bg.ass,7,6,3,3,6,0,1,1,2,2025/07/02 15:41:10
mcll6o8fsheywxs2bg.ass,4,6,0,6,0,0,1,1,3,2025/07/02 15:41:33
mcll6o8fsheywxs2bg.ass,8,7,3,3,7,50,1,1,5,2025/07/02 15:41:59
mcll6o8fsheywxs2bg.ass,5,7,0,6,1,0,1,1,6,2025/07/02 15:42:20
mcll6o8fsheywxs2bg.ass,2,6,6,0,12,86,1,1,1,2025/07/02 15:42:39
mcll69xvddcgubiz4f,4,7,3,3,7,68,1,1,5,2025/07/02 15:41:02
mcll69xvddcgubiz4f,11,6,3,3,6,34,1,1,2,2025/07/02 15:41:29
mcll69xvddcgubiz4f,6,7,6,0,13,53,1,1,4,2025/07/02 15:41:49
mcll69xvddcgubiz4f,5,6,0,6,0,0,1,1,3,2025/07/02 15:42:16
mcll69xvddcgubiz4f,3,6,6,0,12,18,1,1,1,2025/07/02 15:42:34
mcll69xvddcgubiz4f,2,7,0,6,1,6,1,1,6,2025/07/02 15:42:54
mcll6bmok1n0njv0ab.eee,11,7,6,0,13,72,1,0,4,2025/07/02 15:40:38
mcll6bmok1n0njv0ab.eee,8,7,3,3,7,56,1,0,5,2025/07/02 15:41:14
mcll6bmok1n0njv0ab.eee,12,7,0,6,1,5,1,0,6,2025/07/02 15:41:43
mcll6bmok1n0njv0ab.eee,1,6,0,6,0,95,1,0,3,2025/07/02 15:42:25
mcll6bmok1n0njv0ab.eee,2,6,6,0,12,60,1,0,1,2025/07/02 15:42:44
mcll6bmok1n0njv0ab.eee,6,6,3,3,6,60,1,0,2,2025/07/02 15:43:07
mcll7c21qd9v2guhtr,3,6,0,6,0,0,1,1,3,2025/07/02 15:41:26
mcll7c21qd9v2guhtr,4,7,3,3,7,74,1,1,5,2025/07/02 15:42:02
mcll7c21qd9v2guhtr,7,7,0,6,1,10,1,1,6,2025/07/02 15:42:31
mcll7c21qd9v2guhtr,5,6,6,0,12,85,1,1,1,2025/07/02 15:43:01
mcll7c21qd9v2guhtr,10,7,6,0,13,66,1,1,4,2025/07/02 15:43:19
mcll7c21qd9v2guhtr,12,6,3,3,6,45,1,1,2,2025/07/02 15:43:37
