user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mclkxfz3rgz1pibicz.sss,0,4,7,6,0,13,95,1,4,2025/7/2 15:34,1,12,7,6,0,13,3,0,0,26,2025/7/2 15:37,1,3,4.064792,4.453776,4.104655,4.341915,4.088701,4.136619,5.78113,6.927092,9.28754,10.76279,4.071398,4.424421,4.05927,4.358426,4.111091,4.344576,5.846667,6.830072,9.31658,10.88657
mclkxfz3rgz1pibicz.sss,0,8,7,3,3,7,86,1,5,2025/7/2 15:34,2,10,6,6,0,12,26,0,0,24,2025/7/2 15:38,1,3,1.175287,1.418612,1.228984,1.389636,1.731396,1.95941,6.08393,6.383415,10.37634,10.51265,3.184597,3.652888,3.131115,3.512409,3.165963,3.319587,4.630941,5.63501,7.478085,8.72478
mclkxfz3rgz1pibicz.sss,0,6,6,0,6,0,0,1,3,2025/7/2 15:34,3,2,6,3,3,6,46,0,0,18,2025/7/2 15:39,1,3,-1.85881,-0.92192,-1.93808,-1.46868,-1.95671,-1.77913,-1.90634,-1.67816,-1.99892,-1.90459,0.643253,0.806808,0.677548,0.86949,1.148766,1.382438,4.805248,4.972709,8.403879,8.496833
mclkxfz3rgz1pibicz.sss,0,3,6,3,3,6,82,1,2,2025/7/2 15:35,4,1,7,0,6,1,-5,0,0,14,2025/7/2 15:39,1,3,0.597921,0.900236,0.660009,0.838859,1.124356,1.341453,4.769865,5.023207,8.422625,8.490064,-2.11237,-1.43454,-2.10758,-1.62768,-2.06023,-1.66667,-1.96509,-1.6548,-2.10433,-2.07203
mclkxfz3rgz1pibicz.sss,0,9,7,0,6,1,3,1,6,2025/7/2 15:35,5,7,7,3,3,7,45,0,0,20,2025/7/2 15:40,1,3,0.676608,0.44527,2.155704,0.676413,4.043225,1.620667,9.980636,6.363338,14.88362,10.34685,1.20715,1.343536,1.217121,1.414769,1.706277,2.016751,6.111878,6.260877,10.36986,10.33739
mclkxfz3rgz1pibicz.sss,0,11,6,6,0,12,74,1,1,2025/7/2 15:35,6,5,6,0,6,0,0,0,0,12,2025/7/2 15:41,1,3,3.170249,3.578289,3.183777,3.565168,3.20666,3.397878,4.562292,5.531034,7.485066,8.827343,-2.00269,-1.06823,-1.78699,-1.46452,-2.00169,-1.6856,-1.91507,-1.61616,-1.98704,-1.91932
mcll4bmhw0znkuzj99.sss,1,4,7,3,3,7,70,0,5,2025/7/2 15:44,1,11,7,3,3,7,5,1,1,20,2025/7/2 15:39,1,3,1.125502,1.320408,1.243182,1.413101,1.688436,2.014115,6.115708,6.322308,10.31246,10.51101,1.169562,1.353538,1.192937,1.416044,1.74507,2.007902,6.066474,6.283283,10.43639,10.4156
mcll4bmhw0znkuzj99.sss,1,12,7,0,6,1,5,0,6,2025/7/2 15:45,2,6,6,6,0,12,40,1,1,24,2025/7/2 15:40,1,3,0.666492,0.360299,2.164691,0.690318,4.013337,1.559638,10.10189,6.221918,14.83235,10.6377,3.322806,3.552092,3.091114,3.577326,3.168564,3.451834,4.632653,5.553841,7.501083,8.712018
mcll4bmhw0znkuzj99.sss,1,1,6,3,3,6,83,0,2,2025/7/2 15:46,3,9,7,0,6,1,3,1,1,14,2025/7/2 15:41,1,3,0.721596,0.816279,0.687382,0.819666,1.113244,1.346506,4.770463,5.024298,8.449972,8.407984,0.703931,0.458759,2.12981,0.677856,4.131351,1.628282,10.02862,6.288274,14.75521,10.29696
mcll4bmhw0znkuzj99.sss,1,2,7,6,0,13,100,0,4,2025/7/2 15:47,4,3,6,3,3,6,20,1,1,18,2025/7/2 15:42,1,1,3.851393,4.478517,3.957686,4.389081,4.075589,4.224133,5.879311,6.953175,9.270008,10.73103,0.646158,0.78481,0.663937,0.855029,1.135718,1.376607,4.779527,4.970697,8.493756,8.470349
mcll4bmhw0znkuzj99.sss,1,10,6,0,6,0,0,0,3,2025/7/2 15:47,5,5,7,6,0,13,70,1,1,26,2025/7/2 15:43,1,1,-1.85945,-0.95125,-1.916,-1.46172,-1.99946,-1.69835,-1.85442,-1.86242,-1.91018,-2.04133,4.080725,4.507255,4.031113,4.275542,4.029855,4.203095,5.844198,6.930885,9.324918,10.72518
mcll4bmhw0znkuzj99.sss,1,8,6,6,0,12,90,0,1,2025/7/2 15:47,6,7,6,0,6,0,0,1,1,12,2025/7/2 15:43,1,1,3.152462,3.614806,3.202541,3.560073,3.189641,3.301053,4.605106,5.54774,7.464884,8.840318,-1.89365,-0.98612,-1.96474,-1.35192,-1.97369,-1.65216,-1.92228,-1.99584,-1.96893,-1.78848
mcll4ctj75ys035ren.wee,0,7,7,3,3,7,20,1,5,2025/7/2 15:38,1,8,6,0,6,0,10,0,0,12,2025/7/2 15:40,1,3,1.185483,1.362834,1.199496,1.392612,1.721664,2.029772,6.06514,6.183666,10.42359,10.44314,0.330974,0.044376,1.760199,0.242439,3.424852,1.016949,8.585702,4.763144,12.67494,8.442317
mcll4ctj75ys035ren.wee,0,11,7,6,0,13,40,1,4,2025/7/2 15:39,2,10,7,0,6,1,7,0,0,14,2025/7/2 15:41,1,2,4.052067,4.52477,4.070944,4.408959,4.130085,4.139051,5.8842,6.94371,9.313027,10.76425,0.679765,0.399172,2.19024,0.663505,4.078671,1.568943,10.00674,6.220376,14.82272,10.45466
mcll4ctj75ys035ren.wee,0,1,6,0,6,0,0,1,3,2025/7/2 15:39,3,2,6,6,0,12,18,0,0,24,2025/7/2 15:42,1,3,-1.94497,-0.87273,-1.9067,-1.56752,-1.92789,-1.6461,-2.02998,-1.67117,-1.89137,-1.92395,3.156829,3.581149,3.09844,3.410325,3.147376,3.324801,4.648982,5.514907,7.483145,8.782842
mcll4ctj75ys035ren.wee,0,5,6,6,0,12,15,1,1,2025/7/2 15:39,4,6,7,6,0,13,10,0,0,26,2025/7/2 15:43,1,2,3.138602,3.514282,3.204829,3.515832,3.127653,3.347991,4.621745,5.514163,7.455257,8.901872,4.001904,4.369142,4.018504,4.331198,3.923233,4.199714,5.84384,6.860498,9.408991,10.82585
mcll4ctj75ys035ren.wee,0,12,6,3,3,6,11,1,2,2025/7/2 15:39,5,3,6,3,3,6,7,0,0,18,2025/7/2 15:44,1,2,0.659116,0.796326,0.669091,0.856206,1.144698,1.372618,4.794375,5.031199,8.473003,8.467872,0.668153,0.811307,0.663943,0.838739,1.12894,1.348914,4.78601,4.939919,8.433857,8.484369
mcll4ctj75ys035ren.wee,0,4,7,0,6,1,4,1,6,2025/7/2 15:40,6,9,7,3,3,7,16,0,0,20,2025/7/2 15:45,1,3,0.682645,0.435203,2.072868,0.7953,4.043703,1.610473,10.17968,6.135807,14.85039,10.42839,1.11642,1.412287,1.196638,1.356758,1.712783,2.000577,6.112474,6.312276,10.42476,10.45886
