user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mcll5m85olyfjj0k90,0,12,7,3,3,7,64,1,5,2025-07-02 15:39:00,1,2,7,0,6,1,7,0,0,14,2025-07-02 15:41:00,1.0,3.0,1.177145,1.390075,1.208368,1.388182,1.715952,2.003722,6.081582,6.227663,10.43877,10.39892,0.680314,0.443534,2.180696,0.603344,4.054519,1.683779,10.0823,6.115625,14.76978,10.44903
mcll5m85olyfjj0k90,0,3,7,6,0,13,70,1,4,2025-07-02 15:39:00,2,1,6,6,0,12,24,0,0,24,2025-07-02 15:43:00,1.0,3.0,4.008435,4.339803,4.107052,4.411259,4.090561,4.288678,5.834865,7.037548,9.321827,10.63842,3.187822,3.634392,3.1103,3.613893,3.164306,3.351932,4.600083,5.564372,7.54048,8.825718
mcll5m85olyfjj0k90,0,5,6,6,0,12,55,1,1,2025-07-02 15:40:00,3,7,7,6,0,13,41,0,0,26,2025-07-02 15:44:00,1.0,3.0,3.172009,3.517926,3.13219,3.475943,3.11411,3.296284,4.605688,5.487023,7.50356,8.76654,4.051011,4.528827,4.074998,4.258693,4.028598,4.155728,5.838001,6.858987,9.269579,10.73193
mcll5m85olyfjj0k90,0,10,6,3,3,6,31,1,2,2025-07-02 15:40:00,4,6,6,3,3,6,29,0,0,18,2025-07-02 15:45:00,1.0,3.0,0.61548,0.827271,0.65263,0.830239,1.139196,1.405429,4.764157,4.997915,8.449718,8.544365,0.677228,0.826944,0.631367,0.849165,1.138443,1.43422,4.724273,5.004457,8.446712,8.440718
mcll5m85olyfjj0k90,0,11,6,0,6,0,0,1,3,2025-07-02 15:40:00,5,4,7,3,3,7,43,0,0,20,2025-07-02 15:54:00,1.0,3.0,-1.97761,-0.88565,-1.90339,-1.46341,-2.0032,-1.79833,-1.92758,-1.85682,-1.85573,-1.83305,1.148584,1.31613,1.173548,1.444621,1.739026,2.018389,6.048624,6.305946,10.37172,10.52878
mcll5m85olyfjj0k90,0,8,7,0,6,1,5,1,6,2025-07-02 15:40:00,6,9,6,0,6,0,8,0,0,12,2025-07-02 15:54:00,0.0,,0.695184,0.453829,2.134994,0.697405,4.129952,1.64074,10.13602,6.234041,14.78651,10.40154,0.303002,0.003787,1.810374,0.261103,3.355239,1.136684,8.588841,4.778116,12.61028,8.511526
mcll5qde7ncrwb4o7g.p77,0,5,7,0,6,1,15,1,6,2025-07-02 15:40:00,1,6,6,0,6,0,0,0,0,12,2025-07-02 15:46:00,0.0,,0.701353,0.411778,2.13884,0.669136,4.019091,1.675942,10.17435,6.118029,14.93558,10.47424,-1.99516,-0.98653,-2.02536,-1.56133,-1.98867,-1.58468,-1.81874,-1.87037,-1.92887,-1.80215
mcll5qde7ncrwb4o7g.p77,0,10,7,6,0,13,60,1,4,2025-07-02 15:41:00,2,7,7,6,0,13,40,0,0,26,2025-07-02 15:48:00,0.0,,4.068299,4.354368,4.05995,4.413484,4.032824,4.228199,5.823063,6.984503,9.305422,10.81739,4.025568,4.465223,4.144325,4.31785,4.023881,4.122413,5.877804,6.897649,9.3661,10.77339
mcll5qde7ncrwb4o7g.p77,0,9,7,3,3,7,60,1,5,2025-07-02 15:41:00,3,8,7,0,6,1,5,0,0,14,2025-07-02 15:50:00,0.0,,1.183335,1.382335,1.249551,1.389521,1.718572,2.018302,6.105539,6.190467,10.4266,10.50434,0.684478,0.408208,2.168201,0.7137,4.155467,1.615099,10.09867,6.158607,14.83668,10.26979
mcll5qde7ncrwb4o7g.p77,0,1,6,3,3,6,50,1,2,2025-07-02 15:42:00,4,12,6,3,3,6,-5,0,0,18,2025-07-02 15:52:00,0.0,,0.60532,0.854815,0.663224,0.846434,1.094013,1.375709,4.786291,4.942676,8.401483,8.496965,-1.45057,-1.43382,-1.53697,-1.51887,-1.63987,-1.60756,-1.81482,-1.94135,-1.86889,-1.7636
