user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,is_summary,sample_number,timestamp,order,reason
mcll64y6b4oezqkjc9,7,7,6,0,13,33,0,1,True,4,2025-07-02 15:44:23,1,short_duration_ex1
mcll64y6b4oezqkjc9,9,7,3,3,7,46,0,1,True,5,2025-07-02 15:44:33,2,short_duration_ex1
mcll64y6b4oezqkjc9,8,6,3,3,6,23,0,1,True,2,2025-07-02 15:44:42,3,short_duration_ex1
mcll64y6b4oezqkjc9,6,6,0,6,0,67,0,1,True,3,2025-07-02 15:44:51,4,short_duration_ex1
mcll64y6b4oezqkjc9,10,6,6,0,12,28,0,1,True,1,2025-07-02 15:45:01,5,short_duration_ex1
mcll64y6b4oezqkjc9,5,7,0,6,1,25,0,1,True,6,2025-07-02 15:45:11,6,short_duration_ex1
mcll6x95i4b8ac15l6.eee,5,6,3,3,6,43,0,1,True,2,2025-07-02 15:46:22,1,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,4,7,0,6,1,38,0,1,True,6,2025-07-02 15:46:32,2,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,8,6,0,6,0,36,0,1,True,3,2025-07-02 15:46:41,3,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,9,6,6,0,12,40,0,1,True,1,2025-07-02 15:46:51,4,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,12,7,3,3,7,43,0,1,True,5,2025-07-02 15:47:01,5,short_duration_ex1;similar_answers_ex1
mcll6x95i4b8ac15l6.eee,6,7,6,0,13,41,0,1,True,4,2025-07-02 15:47:11,6,short_duration_ex1;similar_answers_ex1
mclmeekysi90pq3ygt.3ll,12,7,0,6,1,12,1,1,True,6,2025-07-02 16:13:49,1,short_duration_ex1
mclmeekysi90pq3ygt.3ll,1,7,3,3,7,58,1,1,True,5,2025-07-02 16:13:59,2,short_duration_ex1
mclmeekysi90pq3ygt.3ll,6,6,6,0,12,48,1,1,True,1,2025-07-02 16:14:08,3,short_duration_ex1
mclmeekysi90pq3ygt.3ll,7,7,6,0,13,68,1,1,True,4,2025-07-02 16:14:18,4,short_duration_ex1
mclmeekysi90pq3ygt.3ll,9,6,0,6,0,0,1,1,True,3,2025-07-02 16:14:27,5,short_duration_ex1
mclmeekysi90pq3ygt.3ll,10,6,3,3,6,41,1,1,True,2,2025-07-02 16:14:37,6,short_duration_ex1
mcln966w5ayflxl00s,8,6,6,0,12,36,0,0,True,1,2025-07-02 16:43:10,1,short_duration_ex1
mcln966w5ayflxl00s,4,7,3,3,7,33,0,0,True,5,2025-07-02 16:43:18,2,short_duration_ex1
mcln966w5ayflxl00s,3,7,6,0,13,12,0,0,True,4,2025-07-02 16:43:26,3,short_duration_ex1
mcln966w5ayflxl00s,9,7,0,6,1,9,0,0,True,6,2025-07-02 16:43:33,4,short_duration_ex1
mcln966w5ayflxl00s,11,6,3,3,6,31,0,0,True,2,2025-07-02 16:43:40,5,short_duration_ex1
mcln966w5ayflxl00s,2,6,0,6,0,30,0,0,True,3,2025-07-02 16:43:48,6,short_duration_ex1
mclng77lh9kyndz0lp,10,7,3,3,7,61,0,0,True,5,2025-07-02 16:48:59,1,short_duration_ex1
mclng77lh9kyndz0lp,5,6,3,3,6,41,0,0,True,2,2025-07-02 16:49:08,2,short_duration_ex1
mclng77lh9kyndz0lp,6,7,0,6,1,0,0,0,True,6,2025-07-02 16:49:20,3,short_duration_ex1
mclng77lh9kyndz0lp,2,6,6,0,12,64,0,0,True,1,2025-07-02 16:49:31,4,short_duration_ex1
mclng77lh9kyndz0lp,8,6,0,6,0,0,0,0,True,3,2025-07-02 16:49:43,5,short_duration_ex1
mclng77lh9kyndz0lp,9,7,6,0,13,76,0,0,True,4,2025-07-02 16:49:53,6,short_duration_ex1
mclnv4bywkmk14jljd,4,7,3,3,7,46,1,1,True,5,2025-07-02 16:54:51,1,short_duration_ex1
mclnv4bywkmk14jljd,8,7,6,0,13,43,1,1,True,4,2025-07-02 16:55:01,2,short_duration_ex1
mclnv4bywkmk14jljd,6,7,0,6,1,11,1,1,True,6,2025-07-02 16:55:11,3,short_duration_ex1
mclnv4bywkmk14jljd,5,6,0,6,0,1,1,1,True,3,2025-07-02 16:55:20,4,short_duration_ex1
mclnv4bywkmk14jljd,7,6,3,3,6,55,1,1,True,2,2025-07-02 16:55:34,5,short_duration_ex1
mclnv4bywkmk14jljd,10,6,6,0,12,56,1,1,True,1,2025-07-02 16:55:42,6,short_duration_ex1
mclo4ivav2gwxlhpwc.000,2,6,6,0,12,49,0,0,True,1,2025-07-02 17:06:55,1,short_duration_ex1
mclo4ivav2gwxlhpwc.000,10,6,3,3,6,51,0,0,True,2,2025-07-02 17:07:03,2,short_duration_ex1
mclo4ivav2gwxlhpwc.000,5,6,0,6,0,0,0,0,True,3,2025-07-02 17:07:15,3,short_duration_ex1
mclo4ivav2gwxlhpwc.000,3,7,3,3,7,55,0,0,True,5,2025-07-02 17:07:23,4,short_duration_ex1
mclo4ivav2gwxlhpwc.000,9,7,6,0,13,75,0,0,True,4,2025-07-02 17:07:31,5,short_duration_ex1
mclo4ivav2gwxlhpwc.000,11,7,0,6,1,8,0,0,True,6,2025-07-02 17:07:41,6,short_duration_ex1
mclodv3ut2bst4qqi3.000,11,7,6,0,13,57,0,1,True,4,2025-07-02 17:14:10,1,short_duration_ex1
mclodv3ut2bst4qqi3.000,1,6,0,6,0,0,0,1,True,3,2025-07-02 17:14:21,2,short_duration_ex1
mclodv3ut2bst4qqi3.000,6,7,0,6,1,0,0,1,True,6,2025-07-02 17:14:31,3,short_duration_ex1
mclodv3ut2bst4qqi3.000,10,7,3,3,7,70,0,1,True,5,2025-07-02 17:14:39,4,short_duration_ex1
mclodv3ut2bst4qqi3.000,12,6,6,0,12,67,0,1,True,1,2025-07-02 17:14:48,5,short_duration_ex1
mclodv3ut2bst4qqi3.000,5,6,3,3,6,50,0,1,True,2,2025-07-02 17:14:56,6,short_duration_ex1
mclomq7keo3wh0bof8.000,3,7,6,0,13,59,0,0,True,4,2025-07-02 17:21:02,1,short_duration_ex1
mclomq7keo3wh0bof8.000,9,6,0,6,0,0,0,0,True,3,2025-07-02 17:21:12,2,short_duration_ex1
mclomq7keo3wh0bof8.000,7,7,0,6,1,1,0,0,True,6,2025-07-02 17:21:27,3,short_duration_ex1
mclomq7keo3wh0bof8.000,10,6,6,0,12,78,0,0,True,1,2025-07-02 17:21:36,4,short_duration_ex1
mclomq7keo3wh0bof8.000,6,6,3,3,6,47,0,0,True,2,2025-07-02 17:21:44,5,short_duration_ex1
mclomq7keo3wh0bof8.000,8,7,3,3,7,49,0,0,True,5,2025-07-02 17:21:54,6,short_duration_ex1
mcll64y6b4oezqkjc9,4,7,0,6,1,70,1,1,False,14,2025-07-02 15:39:59,1,short_duration_ex1
mcll64y6b4oezqkjc9,12,7,6,0,13,60,1,1,False,26,2025-07-02 15:41:10,2,short_duration_ex1
mcll64y6b4oezqkjc9,11,6,0,6,0,25,1,1,False,12,2025-07-02 15:41:45,3,short_duration_ex1
mcll64y6b4oezqkjc9,1,6,6,0,12,66,1,1,False,24,2025-07-02 15:42:42,4,short_duration_ex1
mcll64y6b4oezqkjc9,2,6,3,3,6,38,1,1,False,18,2025-07-02 15:43:25,5,short_duration_ex1
