user_id,first_phase,crt_finish_ts,crt_total_duration_sec,,
mclninywxofe0g24vl,examine1_2,2025/7/2 8:58,725,mclnupe9cnfgefllez6.ee,1
mclnb237j2i7wnbmbs3,examine1_2,2025/7/2 14:02,1187,mclnc5k13y5h6xb29t.ass,1
mclkxfz3rgz1pibicz.sss,examine1,2025/7/2 15:41,453,mclnb9ks0d6eet4r04,1
mcll4ctj75ys035ren.wee,examine1,2025/7/2 15:45,426,mclnmp0njjctosa2t9,1
mcll4p2b9leju4ephg.p77,examine1,2025/7/2 15:46,464,mclnbmojqk41p0tn2l,1
mcll4rmr92dljfi9xm.p77,examine1,2025/7/2 15:46,485,mclnbewrhhzphpc9db.sss,1
mcll64y6b4oezqkjc9,examine1_2,2025/7/2 15:47,422,mclncpm2cci0cd3vp8y.ee,1
mcll6dvwzwl1v1q0ti.777,examine1_2,2025/7/2 15:47,418,mcloaebpimji2fsu2s,1
mcll52ujpq0yf77ww4,examine1_2,2025/7/2 15:47,428,mclnbjdzlo0264kv8y.3ll,1
mcll4bmhw0znkuzj99.sss,examine1_2,2025/7/2 15:48,541,mclnxg12nslkx6s7x2.ass,1
mcll4qx9fuj8krv92g.wee,examine1_2,2025/7/2 15:48,569,mclnb9es89bcb1enfz,1
mcll5335u98sk4zlq7,examine1,2025/7/2 15:48,567,mclncsw68y86dyh3wu.p77,1
mcll6x95i4b8ac15l6.eee,examine1_2,2025/7/2 15:48,461,mclnbskcktx7zfb0ps.i,1
mcll53y5mokezfxqsl.3ll,examine1,2025/7/2 15:49,541,mclnd6dtzytsyfh1q6,1
mcll5aimswpxusnyiu.lll,examine1_2,2025/7/2 15:49,515,mclpy1vlpdfd13mxzw.sss,1
mcll50bcy1zv872u86.lll,examine1_2,2025/7/2 15:49,585,mclpg882lugv6xq36x.sss,1
mcll5sdelpjgyxvgdp.eee,examine1_2,2025/7/2 15:49,513,mclpud99swp1cryx8x.wee,1
mcll65gjnnb9ef7xfxz,examine1,2025/7/2 15:49,593,mclphsh869xrwnbby6.ass,1
mcll5d8gtm7gpvejzy.eee,examine1,2025/7/2 15:50,609,mcltqyjvrajhhop1ht.777,1
mcll69xvddcgubiz4f,examine1,2025/7/2 15:50,545,mclne6s23zl4eencpb.ass,1
mcll74m49tz5dbzdvw.i,examine1_2,2025/7/2 15:50,534,mclodv3ut2bst4qqi3.000,1
mcll6bmok1n0njv0ab.eee,examine1,2025/7/2 15:50,620,mclodkgijophefvlbd,1
mcll6o8fsheywxs2bg.ass,examine1,2025/7/2 15:51,616,mclnaufv4act0uxzyz,1
mcll7ssqm0fpuv40rq.eee,examine1_2,2025/7/2 15:51,523,mclnbvvarwm0salkzx.sss,1
mcll6pqayp5g03ajyy.lll,examine1_2,2025/7/2 15:51,538,mclnct0ngnftgawlpv.ass,1
mcll7ctpzp56tf8wu2,examine1_2,2025/7/2 15:52,660,mclndk0flkvlbgpgun,1
mcll7tv1j8mkkl5684,examine1,2025/7/2 15:52,598,mclnsvr9a41h0ts5qa.777,1
mcll7c21qd9v2guhtr,examine1,2025/7/2 15:52,652,mclniw8tmb8nms1x5t.sss,1
mcll67un6dq3qzcvqy.3ll,examine1,2025/7/2 15:52,688,mclno8m57qwge0r9id.ass,1
mcll75x1khrd37rv6o.3ll,examine1_2,2025/7/2 15:52,625,mclnbah2fjesbxq42c.777,1
mcllag1fzlihejt9uo.p77,examine1,2025/7/2 15:52,482,mclneqtpbcq144lby5.3ll,1
mcll5ry0686i2m8pyy.i,examine1_2,2025/7/2 15:53,720,mclncramut1rac356b,1
mcll5c1wv85unn3sp0.eee,examine1_2,2025/7/2 15:53,789,mclo5kvjtcbj13yygz.777,1
mcll6gl3azf90l1dyb.wee,examine1_2,2025/7/2 15:53,725,mclnbk8iqxvqcn1qk8.lll,1
mcll7g1wnjo34rftxf,examine1_2,2025/7/2 15:54,692,mclndafuqa7pm5xn1i.wee,1
mcll7l8t73kp42x45p,examine1_2,2025/7/2 15:54,703,mclngfqok0z1b5gpjz.lll,1
mcll63uzmmcu60sol7,examine1_2,2025/7/2 15:54,748,mclnbg8cgnvgvryl3d.ass,1
mcllbat1t0udyejp68.ass,examine1_2,2025/7/2 15:54,567,mclnhac133co78a5yp,1
mcll7my7at5u4pncux,examine1_2,2025/7/2 15:54,673,mclnxdwfdpg6d6vy5f6.ss,1
mcll5n2tno4ajmj2cj.sss,examine1_2,2025/7/2 15:54,796,mclnal6x0y53btq18j.777,1
mcll5i6tngqzd7yacu,examine1_2,2025/7/2 15:55,861,mclna1mkyreqtne4lm.wee,1
mcllb27o8tzti74md4,examine1_2,2025/7/2 15:55,596,mclnamxkgqjz4quvtv.sss,1
mcll5orr7i85sm6ff1,examine1,2025/7/2 15:55,860,mclne5rq7aey1iecmo.i,1
mcll6afnfrq9o2x0jk.777,examine1_2,2025/7/2 15:55,842,mclncm1luszxoo3uka.p77,1
mcll56sd75db8qaxqx,examine1,2025/7/2 15:55,823,mclnrvzltrywxh6ry2.p77,1
mcllc2b6t7ytoskbnv,examine1_2,2025/7/2 15:55,574,mclnb36wupm6oz324f.i,1
mcllcs7ec11q9tcwbm.i,examine1_2,2025/7/2 15:55,531,mclnbjfii8q61r4pur.ass,1
mcll7fvxc800uiqgo8.eee,examine1,2025/7/2 15:56,861,mclo0otcab0fp27vrv.lll,1
mcll6mo2fmxw9hy2cr.i,examine1_2,2025/7/2 15:56,803,mcln9z3kj7p2n3j1xr.eee,1
mcll7roqioitd7jxqt.p77,examine1,2025/7/2 15:56,854,mclnbjnbdnsxk365tl.sss,1
mcll7huybpfp4y5wgj,examine1,2025/7/2 15:56,852,mclnantzqx2h8rjgam.sss,1
mcll7o7izxwcup5a2m,examine1,2025/7/2 15:56,898,mclnaehcjy2j1sbacr.eee,1
mcll5qde7ncrwb4o7g.p77,examine1,2025/7/2 15:56,998,mclnao57zgs713pemj.eee,1
mcll5m85olyfjj0k90,examine1,2025/7/2 15:57,1074,mclnka0s3q8i3hzb7q.777,1
mcll6pjb5sht5l4grc.eee,examine1,2025/7/2 15:57,949,mclnvqr5bhj8trxh7b.sss,1
mcll5irw6hyl31z7h7.sss,examine1,2025/7/2 15:57,1009,mcloe7cr6y10aoqd75.000,1
mcllci79nopymd7qbk.sss,examine1,2025/7/2 15:57,741,mclnbnntty9d24j2hz.sss,1
mcll8igionx3zx5igc.sss,examine1_2,2025/7/2 15:58,883,mcln9xo5t81bgfw4nm.ass,1
mcll76hmkawor99cez.i,examine1,2025/7/2 15:58,991,mclng77lh9kyndz0lp,1
