user_id,q1,q2,q3,timestamp
mcll4ctj75ys035ren.wee,50,5,47,2025/07/02 15:45:50
mcll4p2b9leju4ephg.p77,50,5,47,2025/07/02 15:46:43
mcll4rmr92dljfi9xm.p77,50,5,47,2025/07/02 15:46:57
mcll64y6b4oezqkjc9,50,5,47,2025/07/02 15:47:01
mcll6dvwzwl1v1q0ti.777,50,100,4,2025/07/02 15:47:49
mclkxfz3rgz1pibicz.sss,100,60,24,2025/07/02 15:41:49
mcll52ujpq0yf77ww4,100,20,24,2025/07/02 15:47:50
mcll4bmhw0znkuzj99.sss,50,5,47,2025/07/02 15:48:24
mcll4qx9fuj8krv92g.wee,100,25,7,2025/07/02 15:48:46
mcll5335u98sk4zlq7,50,5,47,2025/07/02 15:48:53
mcll6x95i4b8ac15l6.eee,100,100,24,2025/07/02 15:48:57
mcll5aimswpxusnyiu.lll,50,5,47,2025/07/02 15:49:23
mcll50bcy1zv872u86.lll,50,5,47,2025/07/02 15:49:39
mcll5sdelpjgyxvgdp.eee,100,50,24,2025/07/02 15:49:43
mcll65gjnnb9ef7xfxz,100,100,24,2025/07/02 15:49:56
mcll5d8gtm7gpvejzy.eee,100,5,36,2025/07/02 15:50:00
mcll69xvddcgubiz4f,100,100,24,2025/07/02 15:50:07
mcll74m49tz5dbzdvw.i,50,5,47,2025/07/02 15:50:44
mcll53y5mokezfxqsl.3ll,50,5,47,2025/07/02 15:49:05
mcll6bmok1n0njv0ab.eee,100,5,47,2025/07/02 15:50:58
mcll6o8fsheywxs2bg.ass,90,5,47,2025/07/02 15:51:00
mcll7ssqm0fpuv40rq.eee,50,5,47,2025/07/02 15:51:07
mcll6pqayp5g03ajyy.lll,100,5,47,2025/07/02 15:51:41
mcll7ctpzp56tf8wu2,100,5,12,2025/07/02 15:52:06
mcll7tv1j8mkkl5684,100,5,24,2025/07/02 15:52:07
mcll7c21qd9v2guhtr,100,5,47,2025/07/02 15:52:18
mcll67un6dq3qzcvqy.3ll,50,20,24,2025/07/02 15:52:20
mcll75x1khrd37rv6o.3ll,50,5,47,2025/07/02 15:52:28
mcllag1fzlihejt9uo.p77,50,5,47,2025/07/02 15:52:29
mcll5ry0686i2m8pyy.i,50,5,47,2025/07/02 15:53:33
mcll5c1wv85unn3sp0.eee,50,5,47,2025/07/02 15:53:48
mcll6gl3azf90l1dyb.wee,50,5,47,2025/07/02 15:53:58
mcll7g1wnjo34rftxf,100,5,47,2025/07/02 15:54:02
mcllbat1t0udyejp68.ass,100,100,2,2025/07/02 15:54:14
mcll7l8t73kp42x45p,450,1,47,2025/07/02 15:54:14
mcll7my7at5u4pncux,100,5,47,2025/07/02 15:54:19
mcll5n2tno4ajmj2cj.sss,50,5,47,2025/07/02 15:54:27
mcll63uzmmcu60sol7,100,5,24,2025/07/02 15:54:14
mcll5i6tngqzd7yacu,50,100,36,2025/07/02 15:55:14
mcllb27o8tzti74md4,100,5,47,2025/07/02 15:55:15
mcll5orr7i85sm6ff1,100,100,24,2025/07/02 15:55:19
mcll6afnfrq9o2x0jk.777,50,5,47,2025/07/02 15:55:38
mcll56sd75db8qaxqx,50,5,47,2025/07/02 15:55:44
mcllc2b6t7ytoskbnv,50,5,47,2025/07/02 15:55:56
mcllcs7ec11q9tcwbm.i,100,100,24,2025/07/02 15:55:56
mcll7fvxc800uiqgo8.eee,50,5,47,2025/07/02 15:56:00
mcll6mo2fmxw9hy2cr.i,50,5,47,2025/07/02 15:56:01
mcll7roqioitd7jxqt.p77,50,5,47,2025/07/02 15:56:05
mcll7huybpfp4y5wgj,50,5,47,2025/07/02 15:56:14
mcll7o7izxwcup5a2m,100,5,47,2025/07/02 15:56:52
mcll5qde7ncrwb4o7g.p77,100,100,47,2025/07/02 15:56:59
mcll5m85olyfjj0k90,50,5,47,2025/07/02 15:57:20
mcll6pjb5sht5l4grc.eee,6000,100,24,2025/07/02 15:57:20
mcll5irw6hyl31z7h7.sss,50,5,47,2025/07/02 15:57:37
mcllci79nopymd7qbk.sss,100,100,24,2025/07/02 15:57:57
mcll8igionx3zx5igc.sss,50,5,47,2025/07/02 15:58:07
mcll76hmkawor99cez.i,100,5,47,2025/07/02 15:58:14
mcllggn3tj8budljfi,50,5,47,2025/07/02 15:58:15
mcllibvr9e05yx24fh.i,50,5,47,2025/07/02 15:58:32
mcll7ucumfq161wvm0.sss,1050,1,47,2025/07/02 15:58:45
mcll7z4qczwymqcdkx.i,50,5,47,2025/07/02 15:58:50
mcll88l4qcxkx40mm3k.ee,50,5,47,2025/07/02 15:58:52
mclldzm9rzls0ymtxr.3ll,50,5,47,2025/07/02 15:58:55
mcllegdr0rb3wv31m4.3ll,50,5,47,2025/07/02 15:59:25
mcllbbdxglsrr4ouk3.wee,50,5,47,2025/07/02 16:00:30
mclla4g5vquediuf89d.i,100,5,24,2025/07/02 16:00:32
mcll69xpg7665ebw41.sss,100,5,24,2025/07/02 16:00:34
mcll7k4xxus6re6pgl.sss,50,5,47,2025/07/02 16:00:51
mcllfwq1mhlrbe5ga1.777,50,5,47,2025/07/02 16:00:56
mcllm5t1mi2e7z7ywo.3ll,50,5,47,2025/07/02 16:00:59
mcllmuryujcal0yqid.lll,100,5,47,2025/07/02 16:01:07
mclldfjef7659272y2.sss,100,5,47,2025/07/02 16:01:44
mcll69r400de3351rn.3ll,100,20,24,2025/07/02 16:01:45
mcllpifgvj82skgv0j,100,5,24,2025/07/02 16:02:08
mcllguv9x4e4hzt9q4.3ll,50,25,24,2025/07/02 16:02:16
mcll84yq3c7p4tyfc3.sss,50,5,47,2025/07/02 16:02:22
mcllmap6dy1q2pjwoh,50,5,47,2025/07/02 16:00:57
mcll74eoaxj4gdji59.777,100,5,47,2025/07/02 16:03:40
mcll65paquk3clg5sn,50,5,24,2025/07/02 16:04:01
mcll5az7vbgbiykzed,50,5,47,2025/07/02 16:04:14
mcll866ye6pylz01bw.ass,100,5,47,2025/07/02 16:04:55
mclldmkzp3xzpq2lkk.i,50,1,47,2025/07/02 16:04:53
mcll8j4hhna0cjf4h7.lll,50,5,47,2025/07/02 16:05:57
mcll9pp4h1gfdq6330.777,50,5,47,2025/07/02 16:06:16
mcll6i5ndu9zsn77sq.lll,50,25,47,2025/07/02 16:06:40
mclle2spltt3ajqc4m.wee,100,1,14,2025/07/02 16:06:57
mcll7xcpe3xxlwp8ze.i,100,5,47,2025/07/02 16:07:10
mcllhtswk2ekv8wshn.eee,100,5,24,2025/07/02 16:07:26
mcll86pp7xanndb8wj.i,50,5,12,2025/07/02 16:07:25
mcll6io834fgdcmx9b.eee,100,5,47,2025/07/02 16:08:18
mcllv4m90m0sa7y0bbx.ll,50,5,47,2025/07/02 16:10:00
mcll60xnwtjce72n1l.777,50,5,47,2025/07/02 16:10:06
mcllrghza5ib1834wz.777,100,5,24,2025/07/02 16:10:23
mclldxvsmo35k8j2cy,50,5,47,2025/07/02 16:11:36
mcllldkue64p2zj1l3.lll,50,100,47,2025/07/02 16:12:11
mclm08q7rknfvd271a.i,50,5,47,2025/07/02 16:12:50
mclm3nkm6iaxoft5xt.ass,100,20,24,2025/07/02 16:15:18
mcllz6prnmxsed7js2.ass,100,5,24,2025/07/02 16:15:33
mcllxmwnl5s6v7za3w.3ll,50,5,47,2025/07/02 16:17:26
mcmv3k79c61u7ugyx1,50,5,47,2025/07/02 16:20:57
mcllzgxg5maq17u5nc,50,5,47,2025/07/02 16:19:40
mclm40c7io87bchvzx.p77,1050,5,47,2025/07/02 16:19:52
mcll7edcq3bpx0q09y,50,5,47,2025/07/02 16:20:09
mcllpd3f2mx4jqqwww.eee,50,5,47,2025/07/02 16:20:18
mclmeekysi90pq3ygt.3ll,100,5,24,2025/07/02 16:20:38
mclly3rvc8smsr6a1a.lll,50,5,24,2025/07/02 16:21:19
mclmelnxdtg1tym371.i,100,5,47,2025/07/02 16:22:12
mcll8qiatel5yqpclxq,100,100,14,2025/07/02 16:22:57
mclmk3kjluzqjrq0aa.wee,100,5,47,2025/07/02 16:29:28
mclmfe2ao14plnw3b3.lll,50,5,47,2025/07/02 16:32:02
mcln966w5ayflxl00s,100,100,24,2025/07/02 16:44:05
mcln9z3kj7p2n3j1xr.eee,100,5,12,2025/07/02 16:46:31
mclnall7dzdygzumoi.3ll,100,100,24,2025/07/02 16:47:10
mclnb9es89bcb1enfz,100,5,47,2025/07/02 16:47:16
mclnbjdzlo0264kv8y.3ll,50,5,47,2025/07/02 16:47:46
mcln9gt4v184bt5q8y.p77,100,5,47,2025/07/02 16:48:02
mclna1mkyreqtne4lm.wee,100,5,47,2025/07/02 16:48:12
mclna2pbkes5dt9wru.sss,50,5,47,2025/07/02 16:48:26
mclnd6dtzytsyfh1q6,50,5,47,2025/07/02 16:48:40
mclnbnntty9d24j2hz.sss,50,5,47,2025/07/02 16:48:43
mclnaehcjy2j1sbacr.eee,50,5,47,2025/07/02 16:49:22
