user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp
mcll4bmhw0znkuzj99.sss,11,7,3,3,7,5,1,1,20,2025/07/02 15:39:23
mcll4bmhw0znkuzj99.sss,6,6,6,0,12,40,1,1,24,2025/07/02 15:40:29
mcll4bmhw0znkuzj99.sss,9,7,0,6,1,3,1,1,14,2025/07/02 15:41:14
mcll4bmhw0znkuzj99.sss,3,6,3,3,6,20,1,1,18,2025/07/02 15:42:04
mcll4bmhw0znkuzj99.sss,5,7,6,0,13,70,1,1,26,2025/07/02 15:43:19
mcll4bmhw0znkuzj99.sss,7,6,0,6,0,0,1,1,12,2025/07/02 15:43:59
mcll64y6b4oezqkjc9,4,7,0,6,1,70,1,1,14,2025/07/02 15:39:59
mcll64y6b4oezqkjc9,12,7,6,0,13,60,1,1,26,2025/07/02 15:41:10
mcll64y6b4oezqkjc9,11,6,0,6,0,25,1,1,12,2025/07/02 15:41:45
mcll64y6b4oezqkjc9,1,6,6,0,12,66,1,1,24,2025/07/02 15:42:42
mcll64y6b4oezqkjc9,2,6,3,3,6,38,1,1,18,2025/07/02 15:43:25
mcll64y6b4oezqkjc9,3,7,3,3,7,-35,1,1,20,2025/07/02 15:44:11
mcll5l2iepz2wdz81b,1,6,6,0,12,21,1,1,24,2025/07/02 15:40:40
mcll5l2iepz2wdz81b,9,7,0,6,1,-92,1,1,14,2025/07/02 15:41:23
mcll5l2iepz2wdz81b,5,7,6,0,13,15,1,1,26,2025/07/02 15:42:26
mcll5l2iepz2wdz81b,2,6,3,3,6,9,1,1,18,2025/07/02 15:43:32
mcll5l2iepz2wdz81b,8,6,0,6,0,0,1,1,12,2025/07/02 15:44:13
mcll5l2iepz2wdz81b,7,7,3,3,7,29,1,1,20,2025/07/02 15:45:03
mcll6dvwzwl1v1q0ti.777,2,6,6,0,12,80,1,0,24,2025/07/02 15:40:51
mcll6dvwzwl1v1q0ti.777,11,7,0,6,1,-73,1,0,14,2025/07/02 15:41:34
mcll6dvwzwl1v1q0ti.777,12,6,3,3,6,-42,1,0,18,2025/07/02 15:42:21
mcll6dvwzwl1v1q0ti.777,7,7,3,3,7,-35,1,0,20,2025/07/02 15:43:10
mcll6dvwzwl1v1q0ti.777,6,7,6,0,13,87,1,0,26,2025/07/02 15:44:31
mcll6dvwzwl1v1q0ti.777,10,6,0,6,0,73,1,0,12,2025/07/02 15:45:09
mcll50bcy1zv872u86.lll,9,7,0,6,1,40,1,1,14,2025/07/02 15:39:54
mcll50bcy1zv872u86.lll,6,6,3,3,6,30,1,1,18,2025/07/02 15:41:10
mcll50bcy1zv872u86.lll,11,6,0,6,0,0,1,1,12,2025/07/02 15:41:53
mcll50bcy1zv872u86.lll,10,7,3,3,7,40,1,1,20,2025/07/02 15:42:58
mcll50bcy1zv872u86.lll,4,7,6,0,13,20,1,1,26,2025/07/02 15:44:04
mcll50bcy1zv872u86.lll,7,6,6,0,12,20,1,1,24,2025/07/02 15:45:15
mcll52ujpq0yf77ww4,9,7,3,3,7,70,1,1,20,2025/07/02 15:40:42
mcll52ujpq0yf77ww4,8,7,0,6,1,13,1,1,14,2025/07/02 15:41:36
mcll52ujpq0yf77ww4,5,6,0,6,0,-5,1,1,12,2025/07/02 15:42:19
mcll52ujpq0yf77ww4,10,6,3,3,6,39,1,1,18,2025/07/02 15:43:07
mcll52ujpq0yf77ww4,11,6,6,0,12,76,1,1,24,2025/07/02 15:44:10
mcll52ujpq0yf77ww4,7,7,6,0,13,24,1,1,26,2025/07/02 15:45:14
mcll4ctj75ys035ren.wee,8,6,0,6,0,10,0,0,12,2025/07/02 15:40:58
mcll4ctj75ys035ren.wee,10,7,0,6,1,7,0,0,14,2025/07/02 15:41:37
mcll4ctj75ys035ren.wee,2,6,6,0,12,18,0,0,24,2025/07/02 15:42:34
mcll4ctj75ys035ren.wee,6,7,6,0,13,10,0,0,26,2025/07/02 15:43:40
mcll4ctj75ys035ren.wee,3,6,3,3,6,7,0,0,18,2025/07/02 15:44:26
mcll4ctj75ys035ren.wee,9,7,3,3,7,16,0,0,20,2025/07/02 15:45:15
mcll4qx9fuj8krv92g.wee,8,6,0,6,0,50,1,1,12,2025/07/02 15:39:17
mcll4qx9fuj8krv92g.wee,5,6,3,3,6,70,1,1,18,2025/07/02 15:40:18
mcll4qx9fuj8krv92g.wee,3,7,6,0,13,100,1,1,26,2025/07/02 15:41:31
