user_id,scenario,stimulus_data,response,sample_type,timestamp
mbj48ey9m32d2,four,"{'a': 6, 'b': 0, 'c': 6, 'd': 0, 'sample_type': 'symmetric', 'sample_number': 3}",64,symmetric,2025/6/5 17:30:4
mbj48ey9m32d2,three,"{'a': 7, 'b': 3, 'c': 3, 'd': 7, 'sample_type': 'symmetric', 'sample_number': 5}",60,symmetric,2025/6/5 17:30:59
mbj48ey9m32d2,one,"{'a': 6, 'b': 3, 'c': 3, 'd': 6, 'sample_type': 'symmetric', 'sample_number': 2}",62,symmetric,2025/6/5 17:31:14
mbj48ey9m32d2,two,"{'a': 7, 'b': 0, 'c': 6, 'd': 1, 'sample_type': 'symmetric', 'sample_number': 6}",60,symmetric,2025/6/5 17:31:46
mbj48ey9m32d2,five,"{'a': 6, 'b': 6, 'c': 0, 'd': 12, 'sample_type': 'symmetric', 'sample_number': 1}",61,symmetric,2025/6/5 17:31:56
mbj48ey9m32d2,six,"{'a': 7, 'b': 6, 'c': 0, 'd': 13, 'sample_type': 'symmetric', 'sample_number': 4}",65,symmetric,2025/6/5 17:32:8
mc435pqzji8p5,3,6,6,0,12,58,1,1,1,2025/6/20 9:43:11
mc435pqzji8p5,1,7,3,3,7,66,1,1,5,2025/6/20 9:44:9
mc435pqzji8p5,7,6,3,3,6,68,1,1,2,2025/6/20 9:45:11
mc435pqzji8p5,4,7,3,3,7,66,1,1,5,2025/6/20 9:45:47
mc435pqzji8p5,11,6,3,3,6,27,1,1,2,2025/6/20 9:46:0
mc435pqzji8p5,8,7,3,3,7,71,1,1,5,2025/6/20 9:47:3
