user_id,scenario,stimulus_data,response,sample_type,timestamp
mbj48ey9m32d2,four,"{'a': 6, 'b': 0, 'c': 6, 'd': 0, 'sample_type': 'symmetric', 'sample_number': 3}",64,symmetric,2025/6/5 17:30:4
mbj48ey9m32d2,three,"{'a': 7, 'b': 3, 'c': 3, 'd': 7, 'sample_type': 'symmetric', 'sample_number': 5}",60,symmetric,2025/6/5 17:30:59
mbj48ey9m32d2,one,"{'a': 6, 'b': 3, 'c': 3, 'd': 6, 'sample_type': 'symmetric', 'sample_number': 2}",62,symmetric,2025/6/5 17:31:14
mbj48ey9m32d2,two,"{'a': 7, 'b': 0, 'c': 6, 'd': 1, 'sample_type': 'symmetric', 'sample_number': 6}",60,symmetric,2025/6/5 17:31:46
mbj48ey9m32d2,five,"{'a': 6, 'b': 6, 'c': 0, 'd': 12, 'sample_type': 'symmetric', 'sample_number': 1}",61,symmetric,2025/6/5 17:31:56
mbj48ey9m32d2,six,"{'a': 7, 'b': 6, 'c': 0, 'd': 13, 'sample_type': 'symmetric', 'sample_number': 4}",65,symmetric,2025/6/5 17:32:8
mce4bbioufms5tqn7f.lll,3,6,6,0,12,61,1,0,1,2025/6/27 10:15:3
mce4bbioufms5tqn7f.lll,9,7,6,0,13,78,1,0,4,2025/6/27 10:15:34
mce4bbioufms5tqn7f.lll,7,6,3,3,6,77,1,0,2,2025/6/27 10:15:55
mce4bbioufms5tqn7f.lll,1,7,3,3,7,39,1,0,5,2025/6/27 10:18:12
mce4bbioufms5tqn7f.lll,11,6,6,0,12,32,1,0,1,2025/6/27 10:18:27
mce4bbioufms5tqn7f.lll,10,7,6,0,13,81,1,0,4,2025/6/27 10:18:42
mce4rhgvyle0dgfeyy.p77,5,6,3,3,6,92,0,1,2,2025/6/27 11:4:11
mce4rhgvyle0dgfeyy.p77,12,7,0,6,1,54,0,1,6,2025/6/27 11:5:2
mce4rhgvyle0dgfeyy.p77,9,6,0,6,0,1,0,1,3,2025/6/27 11:12:41
mce4rhgvyle0dgfeyy.p77,8,7,0,6,1,6,0,1,6,2025/6/27 11:14:54
mce4rhgvyle0dgfeyy.p77,6,6,0,6,0,0,0,1,3,2025/6/27 11:16:15
mce4rhgvyle0dgfeyy.p77,11,7,3,3,7,44,0,1,5,2025/6/27 11:17:52
mce6ymgvxlu1dc900x.lll,3,6,3,3,6,36,0,0,2,2025/6/27 11:50:30
mce6ymgvxlu1dc900x.lll,2,7,0,6,1,15,0,0,6,2025/6/27 11:56:54
mce6ymgvxlu1dc900x.lll,1,6,6,0,12,51,0,0,1,2025/6/27 11:58:22
mce6ymgvxlu1dc900x.lll,8,7,0,6,1,10,0,0,6,2025/6/27 11:59:52
mce6ymgvxlu1dc900x.lll,11,6,0,6,0,4,0,0,3,2025/6/27 12:0:40
mce6ymgvxlu1dc900x.lll,5,7,3,3,7,31,0,0,5,2025/6/27 12:0:55
