user_id,cover_story,a_value,b_value,c_value,d_value,estimation,is_first,is_symmetric,sample_number,timestamp
mc435pqzji8p5,5,6,3,3,6,28,1,1,18,2025/6/20 9:48:34
mc435pqzji8p5,12,7,3,3,7,72,1,1,20,2025/6/20 10:11:19
mc435pqzji8p5,10,7,0,6,1,32,1,1,14,2025/6/20 10:11:40
mc435pqzji8p5,9,6,6,0,12,68,1,1,24,2025/6/20 10:12:8
mc435pqzji8p5,6,6,0,6,0,29,1,1,12,2025/6/20 10:12:42
mc435pqzji8p5,2,7,6,0,13,25,1,1,26,2025/6/20 10:13:21
mc8m80u03wcpmcfkxq.lll,6,6,3,3,6,58,1,0,18,2025/6/23 13:55:54
mc8m80u03wcpmcfkxq.lll,11,7,3,3,7,64,1,0,20,2025/6/23 14:28:42
mc8m80u03wcpmcfkxq.lll,1,6,6,0,12,62,1,0,24,2025/6/23 14:29:7
mc8m80u03wcpmcfkxq.lll,5,7,0,6,1,59,1,0,14,2025/6/23 14:29:29
mc8m80u03wcpmcfkxq.lll,10,7,6,0,13,64,1,0,26,2025/6/23 14:30:9
mc8m80u03wcpmcfkxq.lll,4,6,0,6,0,62,1,0,12,2025/6/23 14:30:28
mce4rhgvyle0dgfeyy.p77,10,7,0,6,1,57,1,1,14,2025/6/27 10:44:34
mce4rhgvyle0dgfeyy.p77,4,6,3,3,6,69,1,1,18,2025/6/27 10:49:21
mce4rhgvyle0dgfeyy.p77,7,6,6,0,12,62,1,1,24,2025/6/27 10:53:12
mce4rhgvyle0dgfeyy.p77,2,7,6,0,13,76,1,1,26,2025/6/27 10:55:53
mce4rhgvyle0dgfeyy.p77,3,6,0,6,0,39,1,1,12,2025/6/27 11:0:24
mce4rhgvyle0dgfeyy.p77,1,7,3,3,7,100,1,1,20,2025/6/27 11:1:42
mce6ymgvxlu1dc900x.lll,10,6,6,0,12,63,1,0,24,2025/6/27 11:39:5
mce6ymgvxlu1dc900x.lll,9,7,0,6,1,71,1,0,14,2025/6/27 11:40:38
mce6ymgvxlu1dc900x.lll,12,7,6,0,13,60,1,0,26,2025/6/27 11:43:41
mce6ymgvxlu1dc900x.lll,6,6,3,3,6,66,1,0,18,2025/6/27 11:45:9
mce6ymgvxlu1dc900x.lll,7,6,0,6,0,60,1,0,12,2025/6/27 11:46:38
mce6ymgvxlu1dc900x.lll,4,7,3,3,7,60,1,0,20,2025/6/27 11:48:30
