ExperimentType,Condition,,mean,std,min,max,count
Type1,Cond1,CS,0.12571969696969695,0.5077913906349347,-0.866,0.82,132
Type1,Cond1,UCS,0.6643030303030303,0.17046904038917213,0.075,0.917,132
Type1,Cond1,P(E|C),-0.7488333333333334,0.11777330836335484,-0.95,-0.555,132
Type1,Cond1,P(C|E),0.7516666666666667,0.09658881659433531,0.545,0.857,132
Type1,Cond1,ΔP,0.81275,0.0847115784690473,0.67,0.97,132
Type1,Cond1,pARIs,0.2936666666666667,0.27433318647407173,-0.196,0.667,132
Type1,Cond1,DFH,0.13341666666666666,0.2656988779914272,-0.371,0.572,132
Type1,Cond1,Dice,0.2936666666666667,0.27433318647407173,-0.196,0.667,132
Type1,Cond1,CRT_mean,2.4133333333333336,0.18011008790710012,2.118,2.824,132
Type1,Cond2,CS,0.21315151515151515,0.5291547557131749,-0.901,0.939,132
Type1,Cond2,UCS,0.45044696969696973,0.3404529384117429,-0.276,0.968,132
Type1,Cond2,P(E|C),-0.402,0.4182287441613119,-0.943,0.367,132
Type1,Cond2,P(C|E),0.37675000000000003,0.3308642943832259,-0.221,0.868,132
Type1,Cond2,ΔP,0.45266666666666666,0.3609202120844635,-0.189,0.917,132
Type1,Cond2,pARIs,0.1835,0.3774549667290086,-0.526,0.889,132
Type1,Cond2,DFH,0.032999999999999995,0.4133849286520267,-0.609,0.822,132
Type1,Cond2,Dice,0.1835,0.3774549667290086,-0.526,0.889,132
Type1,Cond2,CRT_mean,2.23375,0.148793743968874,2.0,2.583,132
Type2,Cond1,CS,-0.07478030303030303,0.6130174189571987,-0.94,0.888,132
Type2,Cond1,UCS,0.6338030303030303,0.2543726436211414,-0.041,0.93,132
Type2,Cond1,P(E|C),-0.8830833333333333,0.14196451775093116,-0.994,-0.461,132
Type2,Cond1,P(C|E),0.82975,0.12954337745026323,0.52,0.956,132
Type2,Cond1,ΔP,0.9249166666666666,0.08957320701391833,0.66,0.989,132
Type2,Cond1,pARIs,0.206,0.24567952189980347,-0.049,0.745,132
Type2,Cond1,DFH,-0.015499999999999995,0.29492774377091346,-0.386,0.745,132
Type2,Cond1,Dice,0.206,0.24567952189980347,-0.049,0.745,132
Type2,Cond1,CRT_mean,2.0585833333333334,0.20491178670537438,1.571,2.438,132
Type2,Cond2,CS,0.07246212121212121,0.521104470124036,-0.894,0.963,132
Type2,Cond2,UCS,0.6365833333333333,0.2210456082836205,0.048,0.976,132
Type2,Cond2,P(E|C),-0.6931666666666667,0.2549929251126516,-0.982,-0.231,132
Type2,Cond2,P(C|E),0.6475,0.22419455495904098,0.244,0.95,132
Type2,Cond2,ΔP,0.7843333333333333,0.20652769685306138,0.296,0.976,132
Type2,Cond2,pARIs,0.3969166666666667,0.26440759195214847,0.057,0.866,132
Type2,Cond2,DFH,0.06949999999999999,0.2770073303519282,-0.39,0.614,132
Type2,Cond2,Dice,0.3969166666666667,0.26440759195214847,0.057,0.866,132
Type2,Cond2,CRT_mean,2.3609999999999998,0.18345242951002244,2.056,2.696,132
